NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS25	119	0.8416888117790222	0.032096665	Yes	
row_1	RPS17	151	0.7205628156661987	0.06517269	Yes	
row_2	RPS29	184	0.6539598107337952	0.0948861	Yes	
row_3	RPS20	196	0.6311951279640198	0.12513596	Yes	
row_4	RPS27A	279	0.4883415699005127	0.14273474	Yes	
row_5	RPS27	280	0.48785504698753357	0.16678663	Yes	
row_6	EIF3I	297	0.4627050757408142	0.18833476	Yes	
row_7	RPS23	299	0.46234115958213806	0.21104978	Yes	
row_8	RPS12	335	0.4123484492301941	0.22861448	Yes	
row_9	RPS28	376	0.37249916791915894	0.24381962	Yes	
row_10	RPS24	423	0.3379358947277069	0.25684682	Yes	
row_11	RPS9	481	0.3098661005496979	0.26762125	Yes	
row_12	EIF3G	634	0.23368094861507416	0.26713568	Yes	
row_13	RPS7	656	0.2252543866634369	0.27658224	Yes	
row_14	RPS10	719	0.20665642619132996	0.28187338	Yes	
row_15	RPS18	782	0.18767844140529633	0.28622884	Yes	
row_16	FAU	912	0.15441101789474487	0.28365195	Yes	
row_17	RPS3	915	0.15381665527820587	0.29107732	Yes	
row_18	RPS14	941	0.14799217879772186	0.2963988	Yes	
row_19	EIF3E	1103	0.12125878036022186	0.2896598	Yes	
row_20	EIF3K	1111	0.11985347419977188	0.2950158	Yes	
row_21	RPS21	1112	0.11960737407207489	0.3009126	Yes	
row_22	EIF4H	1241	0.09755095839500427	0.2956114	No	
row_23	EIF4A1	1408	0.07299759984016418	0.28609812	No	
row_24	RPS3A	1555	0.054821327328681946	0.2772685	No	
row_25	RPS15A	1638	0.044317081570625305	0.27297628	No	
row_26	EIF2S2	1659	0.041553795337677	0.27344516	No	
row_27	RPS19	1758	0.0324750691652298	0.2673053	No	
row_28	EIF3B	1791	0.02991783246397972	0.26625267	No	
row_29	EIF4A2	1953	0.015896769240498543	0.25431916	No	
row_30	RPS6	1955	0.015638982877135277	0.2550112	No	
row_31	EIF3C	2115	0.003982387483119965	0.2426483	No	
row_32	RPS13	2143	0.0022941618226468563	0.2406287	No	
row_33	EIF3F	2289	-0.007701140362769365	0.22955498	No	
row_34	RPS4X	2319	-0.009864670224487782	0.22775064	No	
row_35	EIF3D	2547	-0.027375048026442528	0.21116978	No	
row_36	EIF3M	3497	-0.09499406069517136	0.14089261	No	
row_37	RPSA	3943	-0.1290755420923233	0.11210612	No	
row_38	RPS5	3995	-0.13356584310531616	0.114662655	No	
row_39	EIF4EBP1	4259	-0.15459251403808594	0.101510175	No	
row_40	EIF1AX	4419	-0.16733801364898682	0.097200915	No	
row_41	EIF2S3	4465	-0.17192988097667694	0.102122776	No	
row_42	EIF3L	4676	-0.18722018599510193	0.0947653	No	
row_43	EIF2S1	5080	-0.22120453417301178	0.07383843	No	
row_44	RPS27L	5144	-0.22807230055332184	0.080106385	No	
row_45	RPS8	5233	-0.23363927006721497	0.084674075	No	
row_46	EIF4E	5370	-0.24553000926971436	0.086036526	No	
row_47	RPS11	5843	-0.2903826832771301	0.06306999	No	
row_48	RPS4Y1	5879	-0.2940702438354492	0.07480342	No	
row_49	RPS15	5994	-0.30516543984413147	0.08084373	No	
row_50	RPS26	7027	-0.4191352427005768	0.019991059	No	
row_51	RPS2	7109	-0.4291750192642212	0.03475184	No	
row_52	EIF4B	7153	-0.43479833006858826	0.052791435	No	
row_53	EIF3J	8736	-0.6849926114082336	-0.038398042	No	
row_54	RPS16	8969	-0.7341175079345703	-0.020530535	No	
row_55	EIF3A	10249	-1.0728918313980103	-0.068662435	No	
row_56	EIF3H	10621	-1.2102687358856201	-0.038299516	No	
row_57	EIF4G1	11005	-1.3729292154312134	-8.6509384E-4	No	
row_58	PABPC1	12530	-2.7604618072509766	0.014850096	No	
