NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HBZ	0	6.372715473175049	0.2522072	Yes	
row_1	HBM	1	5.438973903656006	0.46746054	Yes	
row_2	PRDX5	20	1.6399768590927124	0.5309459	Yes	
row_3	GPX1	39	1.3464027643203735	0.58281267	Yes	
row_4	HBA2	59	1.1564191579818726	0.6270819	Yes	
row_5	HBB	91	0.9305311441421509	0.6614656	Yes	
row_6	HBQ1	222	0.5871171355247498	0.6744563	Yes	
row_7	AKR1C3	330	0.4158923923969269	0.6824832	Yes	
row_8	PRDX1	381	0.3661960959434509	0.6930354	Yes	
row_9	SULT1A1	660	0.22437869012355804	0.6800067	No	
row_10	RENBP	824	0.1752280294895172	0.67409575	No	
row_11	NAGK	848	0.16807164251804352	0.6789348	No	
row_12	PRDX2	1157	0.11213243007659912	0.6590996	No	
row_13	PRDX3	1240	0.09816145151853561	0.6565221	No	
row_14	GNPDA1	1670	0.04052300751209259	0.62431705	No	
row_15	ADH5	1706	0.03802326321601868	0.62306356	No	
row_16	MPO	2387	-0.014473548159003258	0.57004666	No	
row_17	SULT1A3	3099	-0.06633581221103668	0.5166392	No	
row_18	HBD	3458	-0.09180369228124619	0.492059	No	
row_19	CAT	3753	-0.11508454382419586	0.47344393	No	
row_20	PCK2	3759	-0.11625197529792786	0.47765067	No	
row_21	GPX3	4289	-0.15740250051021576	0.4421904	No	
row_22	AMDHD2	4363	-0.16351039707660675	0.4429085	No	
row_23	HBG1	4889	-0.20321214199066162	0.40957642	No	
row_24	SULT1A2	5620	-0.2677117884159088	0.36264127	No	
row_25	NPL	7322	-0.4547175168991089	0.2465841	No	
row_26	GNPDA2	7752	-0.5180191397666931	0.23327646	No	
row_27	HBG2	8498	-0.6400172114372253	0.19989358	No	
row_28	PXDNL	11204	-1.474134922027588	0.04505732	No	
row_29	SULT1B1	11817	-1.874362826347351	0.07100653	No	
