NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PF4	116	0.8482935428619385	0.10184614	Yes	
row_1	S100A9	168	0.6847633123397827	0.1874175	Yes	
row_2	HMGN2	230	0.5725446343421936	0.2575194	Yes	
row_3	PPBP	239	0.5558528304100037	0.32961234	Yes	
row_4	RPL39	350	0.3994636833667755	0.37320998	Yes	
row_5	GNLY	355	0.3975263833999634	0.42490393	Yes	
row_6	S100A12	497	0.2978404462337494	0.45276412	Yes	
row_7	RPL30	519	0.28828591108322144	0.48882684	Yes	
row_8	CXCL5	609	0.24276462197303772	0.5135775	Yes	
row_9	CAMP	669	0.2209792584180832	0.5378411	Yes	
row_10	ROMO1	726	0.20507682859897614	0.5602604	Yes	
row_11	DEFA1B	762	0.19320926070213318	0.5827813	Yes	
row_12	DEFA3	763	0.19320926070213318	0.60805917	Yes	
row_13	RPS19	1758	0.0324750691652298	0.5340094	No	
row_14	FAM3A	1867	0.023684432730078697	0.5286008	No	
row_15	PF4V1	1966	0.01506933942437172	0.5228528	No	
row_16	DEFA4	2542	-0.027145685628056526	0.48111084	No	
row_17	GAPDH	3141	-0.06929169595241547	0.44307125	No	
row_18	CXCL1	3904	-0.12635768949985504	0.39957917	No	
row_19	SPAG11A	4923	-0.2050827294588089	0.34622145	No	
row_20	SPAG11B	4924	-0.2050827294588089	0.37305275	No	
row_21	LTF	5818	-0.2880163788795471	0.34039173	No	
row_22	RNASE6	8571	-0.6541571617126465	0.20919791	No	
row_23	PGLYRP1	9651	-0.8972406387329102	0.24159124	No	
