NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S100A8	95	0.9211976528167725	0.065150246	Yes	
row_1	PF4	116	0.8482935428619385	0.13046594	Yes	
row_2	S100A9	168	0.6847633123397827	0.18044172	Yes	
row_3	HMGN2	230	0.5725446343421936	0.22077984	Yes	
row_4	PPBP	239	0.5558528304100037	0.2639812	Yes	
row_5	LYZ	308	0.45434316992759705	0.2944464	Yes	
row_6	RPL39	350	0.3994636833667755	0.32271326	Yes	
row_7	GNLY	355	0.3975263833999634	0.35374507	Yes	
row_8	S100A12	497	0.2978404462337494	0.36611253	Yes	
row_9	RPL30	519	0.28828591108322144	0.3871895	Yes	
row_10	CXCL5	609	0.24276462197303772	0.39931455	Yes	
row_11	CAMP	669	0.2209792584180832	0.4120874	Yes	
row_12	ROMO1	726	0.20507682859897614	0.42384285	Yes	
row_13	DEFA1B	762	0.19320926070213318	0.4363185	Yes	
row_14	DEFA3	763	0.19320926070213318	0.45155415	Yes	
row_15	RPS19	1758	0.0324750691652298	0.37573	No	
row_16	FAM3A	1867	0.023684432730078697	0.369081	No	
row_17	PF4V1	1966	0.01506933942437172	0.3625412	No	
row_18	PDZD11	2156	0.0015054055256769061	0.34775573	No	
row_19	BPI	2330	-0.010342380963265896	0.3349288	No	
row_20	CLU	2414	-0.01598529890179634	0.3296441	No	
row_21	RNASE2	2421	-0.016770482063293457	0.33049342	No	
row_22	DEFA4	2542	-0.027145685628056526	0.32317105	No	
row_23	GAPDH	3141	-0.06929169595241547	0.28147793	No	
row_24	LCN2	3181	-0.0722983330488205	0.2841036	No	
row_25	CHGA	3457	-0.09179840981960297	0.26965645	No	
row_26	CXCL1	3904	-0.12635768949985504	0.24444976	No	
row_27	DEFB103B	4797	-0.19731073081493378	0.1896674	No	
row_28	SPAG11A	4923	-0.2050827294588089	0.1959821	No	
row_29	SPAG11B	4924	-0.2050827294588089	0.21215406	No	
row_30	SLPI	5002	-0.21420235931873322	0.22297308	No	
row_31	LTF	5818	-0.2880163788795471	0.18141547	No	
row_32	SLC11A1	6609	-0.368183434009552	0.14815094	No	
row_33	PLA2G6	7251	-0.44671568274497986	0.132829	No	
row_34	RNASE6	8571	-0.6541571617126465	0.08039919	No	
row_35	PI3	9197	-0.7850492000579834	0.09301853	No	
row_36	PGLYRP1	9651	-0.8972406387329102	0.12804842	No	
row_37	ATP7A	11142	-1.4422622919082642	0.124280535	No	
