NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HRAS	1835	0.026820946484804153	-0.1430667	No	
row_1	MAPK3	3798	-0.11899831891059875	-0.29140133	No	
row_2	RAF1	6120	-0.3194478452205658	-0.4577112	No	
row_3	CXCR4	6190	-0.3259927034378052	-0.4464183	No	
row_4	CRK	6283	-0.3344680666923523	-0.43650106	No	
row_5	RELA	6851	-0.3971032500267029	-0.46076024	No	
row_6	PIK3R1	10935	-1.3340771198272705	-0.7137135	Yes	
row_7	MAPK1	11007	-1.3732831478118896	-0.64884937	Yes	
row_8	PRKCB	11545	-1.6742805242538452	-0.60522467	Yes	
row_9	NFKB1	11582	-1.705215334892273	-0.52057654	Yes	
row_10	MAP2K1	11814	-1.8723180294036865	-0.4427051	Yes	
row_11	PIK3CA	12138	-2.147890329360962	-0.3579379	Yes	
row_12	PTK2B	12396	-2.4921815395355225	-0.25031248	Yes	
row_13	GNAQ	12441	-2.5729095935821533	-0.12177912	Yes	
row_14	PRKCA	12542	-2.7972207069396973	0.013853899	Yes	
