NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAP2K2	678	0.21745367348194122	-0.043027006	No	
row_1	MAPK3	3798	-0.11899831891059875	-0.28288072	No	
row_2	MAP2K3	6054	-0.3120184540748596	-0.4455444	No	
row_3	RELA	6851	-0.3971032500267029	-0.48931575	No	
row_4	CREB1	10638	-1.2135140895843506	-0.7296179	Yes	
row_5	RB1	10677	-1.236258864402771	-0.6738131	Yes	
row_6	PIK3R1	10935	-1.3340771198272705	-0.6305948	Yes	
row_7	MAPK1	11007	-1.3732831478118896	-0.57087076	Yes	
row_8	NFKB1	11582	-1.705215334892273	-0.5349541	Yes	
row_9	MAPK14	11616	-1.7316060066223145	-0.4551972	Yes	
row_10	MAP2K1	11814	-1.8723180294036865	-0.38165742	Yes	
row_11	SP1	12124	-2.136050224304199	-0.3043908	Yes	
row_12	PIK3CA	12138	-2.147890329360962	-0.2032613	Yes	
row_13	MAP3K1	12322	-2.3551344871520996	-0.10565698	Yes	
row_14	MAP2K6	12568	-2.875333309173584	0.011807443	Yes	
