NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CARM1	118	0.8447830080986023	0.019695899	No	
row_1	RXRA	1035	0.13175612688064575	-0.04792024	No	
row_2	PRMT1	1453	0.06689931452274323	-0.078464404	No	
row_3	CHAF1A	3343	-0.08393855392932892	-0.22434764	No	
row_4	SMARCE1	4469	-0.17217063903808594	-0.30703622	No	
row_5	HDAC1	4784	-0.19664734601974487	-0.3250166	No	
row_6	TSC2	6973	-0.4127747118473053	-0.48316282	No	
row_7	SUPT16H	7061	-0.42419975996017456	-0.4754579	No	
row_8	ACTL6A	8146	-0.5802844166755676	-0.5409132	No	
row_9	BAZ1B	9352	-0.8191347718238831	-0.6077015	No	
row_10	SMARCD1	9374	-0.8241947293281555	-0.5810731	No	
row_11	SMARCA4	9481	-0.8545060157775879	-0.5600985	No	
row_12	MED1	12016	-2.038522958755493	-0.6897056	Yes	
row_13	NCOA1	12104	-2.110860586166382	-0.624123	Yes	
row_14	SMARCC1	12114	-2.123440742492676	-0.55196595	Yes	
row_15	CREBBP	12228	-2.2339439392089844	-0.4842073	Yes	
row_16	SMARCC2	12304	-2.337634563446045	-0.4098979	Yes	
row_17	NCOR1	12617	-3.05804181098938	-0.3295321	Yes	
row_18	ARID1A	12651	-3.2608447074890137	-0.22023514	Yes	
row_19	KAT2B	12652	-3.2681643962860107	-0.10808819	Yes	
row_20	EP300	12657	-3.2990565299987793	0.004803811	Yes	
