NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UBB	24	1.578321933746338	0.17127952	Yes	
row_1	HBB	91	0.9305311441421509	0.2681787	Yes	
row_2	UBA52	99	0.9018275737762451	0.36657357	Yes	
row_3	RPS27A	279	0.4883415699005127	0.40606076	Yes	
row_4	HSP90AA1	445	0.32527562975883484	0.42875898	Yes	
row_5	UBC	731	0.20337514579296112	0.4286353	No	
row_6	EEF1A1	1026	0.13306772708892822	0.42008916	No	
row_7	PARK7	1777	0.030690830200910568	0.36441064	No	
row_8	PLIN3	3879	-0.12470449507236481	0.21268585	No	
row_9	HDAC6	4671	-0.1868358552455902	0.17091128	No	
row_10	PCNT	5012	-0.21513335406780243	0.16774766	No	
row_11	PLIN2	5977	-0.30371806025505066	0.12517719	No	
row_12	LAMP2	6523	-0.35823920369148254	0.121575534	No	
row_13	HSPA8	7975	-0.5522916316986084	0.06793742	No	
row_14	HSP90AB1	9338	-0.8155874609947205	0.05019414	No	
row_15	IFT88	9816	-0.9442053437232971	0.116236515	No	
row_16	ARL13B	10100	-1.0221987962722778	0.2061093	No	
