NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PF4	116	0.8482935428619385	0.14507736	Yes	
row_1	HMGN2	230	0.5725446343421936	0.24026322	Yes	
row_2	LYZ	308	0.45434316992759705	0.31679553	Yes	
row_3	GNLY	355	0.3975263833999634	0.3854396	Yes	
row_4	S100A12	497	0.2978404462337494	0.42848352	Yes	
row_5	RPL30	519	0.28828591108322144	0.47923708	Yes	
row_6	CAMP	669	0.2209792584180832	0.5076788	Yes	
row_7	ROMO1	726	0.20507682859897614	0.54055077	Yes	
row_8	DEFA1B	762	0.19320926070213318	0.57291853	Yes	
row_9	DEFA3	763	0.19320926070213318	0.6080415	Yes	
row_10	RPS19	1758	0.0324750691652298	0.53569585	No	
row_11	GAPDH	3141	-0.06929169595241547	0.43949905	No	
row_12	DEFB103B	4797	-0.19731073081493378	0.34508345	No	
row_13	LTF	5818	-0.2880163788795471	0.3171452	No	
row_14	APOL1	6398	-0.34528878331184387	0.33433458	No	
row_15	PGLYRP1	9651	-0.8972406387329102	0.24143907	No	
