NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS25	119	0.8416888117790222	0.04624152	Yes	
row_1	RPS17	151	0.7205628156661987	0.0914233	Yes	
row_2	RPS29	184	0.6539598107337952	0.13212372	Yes	
row_3	RPS20	196	0.6311951279640198	0.17297712	Yes	
row_4	RPS27A	279	0.4883415699005127	0.1987833	Yes	
row_5	RPS27	280	0.48785504698753357	0.2310303	Yes	
row_6	EIF3I	297	0.4627050757408142	0.26035187	Yes	
row_7	RPS23	299	0.46234115958213806	0.2908335	Yes	
row_8	RPS12	335	0.4123484492301941	0.3153267	Yes	
row_9	RPS28	376	0.37249916791915894	0.33679116	Yes	
row_10	RPS24	423	0.3379358947277069	0.3554974	Yes	
row_11	RPS9	481	0.3098661005496979	0.37147987	Yes	
row_12	EIF3G	634	0.23368094861507416	0.37492734	Yes	
row_13	RPS7	656	0.2252543866634369	0.38815883	Yes	
row_14	RPS10	719	0.20665642619132996	0.39692453	Yes	
row_15	RPS18	782	0.18767844140529633	0.40443575	Yes	
row_16	FAU	912	0.15441101789474487	0.40445912	Yes	
row_17	RPS3	915	0.15381665527820587	0.41446847	Yes	
row_18	RPS14	941	0.14799217879772186	0.4222772	Yes	
row_19	EIF3E	1103	0.12125878036022186	0.41758317	Yes	
row_20	EIF3K	1111	0.11985347419977188	0.42495286	Yes	
row_21	RPS21	1112	0.11960737407207489	0.43285885	Yes	
row_22	RPS3A	1555	0.054821327328681946	0.40159145	No	
row_23	RPS15A	1638	0.044317081570625305	0.3980478	No	
row_24	EIF2S2	1659	0.041553795337677	0.3992157	No	
row_25	RPS19	1758	0.0324750691652298	0.39362627	No	
row_26	EIF3B	1791	0.02991783246397972	0.39307776	No	
row_27	RPS6	1955	0.015638982877135277	0.38124442	No	
row_28	EIF3C	2115	0.003982387483119965	0.36895636	No	
row_29	RPS13	2143	0.0022941618226468563	0.36697665	No	
row_30	EIF3F	2289	-0.007701140362769365	0.35603952	No	
row_31	RPS4X	2319	-0.009864670224487782	0.35440233	No	
row_32	EIF3D	2547	-0.027375048026442528	0.33829266	No	
row_33	EIF3M	3497	-0.09499406069517136	0.26965854	No	
row_34	RPSA	3943	-0.1290755420923233	0.24306251	No	
row_35	RPS5	3995	-0.13356584310531616	0.24786526	No	
row_36	EIF1AX	4419	-0.16733801364898682	0.225535	No	
row_37	EIF2S3	4465	-0.17192988097667694	0.23334724	No	
row_38	EIF3L	4676	-0.18722018599510193	0.22914521	No	
row_39	EIF2S1	5080	-0.22120453417301178	0.2119543	No	
row_40	RPS27L	5144	-0.22807230055332184	0.22205661	No	
row_41	RPS8	5233	-0.23363927006721497	0.23055343	No	
row_42	RPS11	5843	-0.2903826832771301	0.20167372	No	
row_43	RPS4Y1	5879	-0.2940702438354492	0.21834877	No	
row_44	RPS15	5994	-0.30516543984413147	0.22952102	No	
row_45	RPS26	7027	-0.4191352427005768	0.17576057	No	
row_46	RPS2	7109	-0.4291750192642212	0.19773479	No	
row_47	EIF3J	8736	-0.6849926114082336	0.114657596	No	
row_48	RPS16	8969	-0.7341175079345703	0.14486858	No	
row_49	EIF3A	10249	-1.0728918313980103	0.11482322	No	
row_50	EIF3H	10621	-1.2102687358856201	0.16553508	No	
