NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HBZ	0	6.372715473175049	0.3071965	Yes	
row_1	HBM	1	5.438973903656006	0.569382	Yes	
row_2	PRDX5	20	1.6399768590927124	0.6470199	Yes	
row_3	GPX1	39	1.3464027643203735	0.71050614	Yes	
row_4	HBA2	59	1.1564191579818726	0.7647554	Yes	
row_5	HBB	91	0.9305311441421509	0.8071711	Yes	
row_6	HBQ1	222	0.5871171355247498	0.82523847	Yes	
row_7	PRDX1	381	0.3661960959434509	0.8304519	Yes	
row_8	PRDX2	1157	0.11213243007659912	0.7748432	No	
row_9	PRDX3	1240	0.09816145151853561	0.77311945	No	
row_10	MPO	2387	-0.014473548159003258	0.6835951	No	
row_11	HBD	3458	-0.09180369228124619	0.6037818	No	
row_12	CAT	3753	-0.11508454382419586	0.5861835	No	
row_13	GPX3	4289	-0.15740250051021576	0.5516517	No	
row_14	HBG1	4889	-0.20321214199066162	0.5142896	No	
row_15	HBG2	8498	-0.6400172114372253	0.2610919	No	
row_16	PXDNL	11204	-1.474134922027588	0.1191939	No	
