NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HBZ	0	6.372715473175049	0.28071716	Yes	
row_1	HBM	1	5.438973903656006	0.52030313	Yes	
row_2	PRDX5	20	1.6399768590927124	0.59112626	Yes	
row_3	GPX1	39	1.3464027643203735	0.64901745	Yes	
row_4	HBA2	59	1.1564191579818726	0.6984611	Yes	
row_5	HBB	91	0.9305311441421509	0.73700935	Yes	
row_6	HBQ1	222	0.5871171355247498	0.75263315	Yes	
row_7	PRDX1	381	0.3661960959434509	0.7563201	Yes	
row_8	CYBA	611	0.24139802157878876	0.74891794	No	
row_9	SOD1	766	0.19236315786838531	0.7452626	No	
row_10	PRDX2	1157	0.11213243007659912	0.7194861	No	
row_11	PRDX3	1240	0.09816145151853561	0.7173519	No	
row_12	PARK7	1777	0.030690830200910568	0.6764891	No	
row_13	MPO	2387	-0.014473548159003258	0.6291626	No	
row_14	HBD	3458	-0.09180369228124619	0.5489347	No	
row_15	CAT	3753	-0.11508454382419586	0.53084904	No	
row_16	GPX3	4289	-0.15740250051021576	0.4956467	No	
row_17	HBG1	4889	-0.20321214199066162	0.45742163	No	
row_18	DUOX1	7926	-0.5453328490257263	0.24233186	No	
row_19	HBG2	8498	-0.6400172114372253	0.22555327	No	
row_20	ACOX1	9831	-0.9470145106315613	0.16236246	No	
row_21	PXDNL	11204	-1.474134922027588	0.11924085	No	
