NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAP2K2	678	0.21745367348194122	-0.04500461	No	
row_1	CDKN1B	1195	0.10523539781570435	-0.08158199	No	
row_2	BCL2L1	2524	-0.02420920692384243	-0.18523914	No	
row_3	PIK3R2	2752	-0.0430891290307045	-0.2014541	No	
row_4	MAPK3	3798	-0.11899831891059875	-0.27916363	No	
row_5	STAT1	3913	-0.12688396871089935	-0.2832443	No	
row_6	BAD	4397	-0.1662490963935852	-0.3148675	No	
row_7	JAK3	9429	-0.8375528454780579	-0.6787728	No	
row_8	MYC	9872	-0.9579246044158936	-0.6766078	No	
row_9	STAT3	10875	-1.3126379251480103	-0.7048555	Yes	
row_10	PIK3R1	10935	-1.3340771198272705	-0.65800613	Yes	
row_11	MAPK1	11007	-1.3732831478118896	-0.61058855	Yes	
row_12	IL7	11238	-1.4921685457229614	-0.5711045	Yes	
row_13	STAT5B	11325	-1.5461821556091309	-0.51819426	Yes	
row_14	FYN	11478	-1.635472297668457	-0.46703547	Yes	
row_15	JAK1	11659	-1.7623628377914429	-0.41318387	Yes	
row_16	MAP2K1	11814	-1.8723180294036865	-0.3530402	Yes	
row_17	IL7R	11832	-1.8899939060211182	-0.28142428	Yes	
row_18	GSK3B	11911	-1.9521496295928955	-0.2122134	Yes	
row_19	IL2RG	12250	-2.2658841609954834	-0.15136947	Yes	
row_20	IL2RA	12342	-2.3800530433654785	-0.06666514	Yes	
row_21	PTK2B	12396	-2.4921815395355225	0.02536024	Yes	
