NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAP2K2	678	0.21745367348194122	-0.04607124	No	
row_1	MAPK3	3798	-0.11899831891059875	-0.28772715	No	
row_2	STAT1	3913	-0.12688396871089935	-0.2924285	No	
row_3	BAD	4397	-0.1662490963935852	-0.32486692	No	
row_4	IRS1	6089	-0.31573405861854553	-0.44741356	No	
row_5	GSK3A	6681	-0.3765208423137665	-0.48126933	No	
row_6	SHC1	7712	-0.5130814909934998	-0.5450988	No	
row_7	JAK3	9429	-0.8375528454780579	-0.6520215	No	
row_8	STAT3	10875	-1.3126379251480103	-0.7215816	Yes	
row_9	PIK3R1	10935	-1.3340771198272705	-0.6812506	Yes	
row_10	MAPK1	11007	-1.3732831478118896	-0.6405429	Yes	
row_11	CLTC	11043	-1.3916206359863281	-0.5963815	Yes	
row_12	IL7	11238	-1.4921685457229614	-0.56135374	Yes	
row_13	STAT5B	11325	-1.5461821556091309	-0.5159983	Yes	
row_14	FYN	11478	-1.635472297668457	-0.47283098	Yes	
row_15	JAK1	11659	-1.7623628377914429	-0.42759097	Yes	
row_16	MAP2K1	11814	-1.8723180294036865	-0.37659597	Yes	
row_17	IL7R	11832	-1.8899939060211182	-0.3142142	Yes	
row_18	FOXO3	11859	-1.9128602743148804	-0.2517704	Yes	
row_19	GSK3B	11911	-1.9521496295928955	-0.18997109	Yes	
row_20	IL2RG	12250	-2.2658841609954834	-0.14019983	Yes	
row_21	PTK2B	12396	-2.4921815395355225	-0.06759735	Yes	
row_22	FOXO1	12527	-2.75490140914917	0.015044144	Yes	
