NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFIT1	5	2.070801258087158	0.06387133	Yes	
row_1	ISG15	10	1.8358725309371948	0.12053072	Yes	
row_2	RSAD2	12	1.779763102531433	0.1756855	Yes	
row_3	IFIT3	27	1.5178468227386475	0.22168615	Yes	
row_4	IFI27	28	1.516384243965149	0.26874605	Yes	
row_5	IFIT2	49	1.2616031169891357	0.30632097	Yes	
row_6	IFI6	50	1.2553608417510986	0.3452802	Yes	
row_7	MX1	106	0.8791947960853577	0.36822578	Yes	
row_8	IFIT5	128	0.80006343126297	0.39139825	Yes	
row_9	IFITM3	135	0.7730624079704285	0.41491628	Yes	
row_10	OAS3	138	0.7703262567520142	0.438665	Yes	
row_11	OASL	159	0.6930991411209106	0.4585968	Yes	
row_12	USP18	192	0.6424570679664612	0.47601014	Yes	
row_13	OAS1	231	0.5725163221359253	0.49077952	Yes	
row_14	IFI35	366	0.38168400526046753	0.492052	Yes	
row_15	IRF7	606	0.2446596771478653	0.4807873	No	
row_16	BST2	814	0.17903751134872437	0.47001097	No	
row_17	IRF1	948	0.14694848656654358	0.4640775	No	
row_18	IRF5	1133	0.11533155292272568	0.4531388	No	
row_19	PSMB8	1151	0.11339554935693741	0.45531663	No	
row_20	XAF1	1358	0.0793994665145874	0.44152698	No	
row_21	IFITM1	1459	0.06626362353563309	0.43569326	No	
row_22	OAS2	2013	0.011195824481546879	0.3924081	No	
row_23	IRF9	2384	-0.014251216314733028	0.36365673	No	
row_24	ABCE1	3287	-0.08059417456388474	0.2949886	No	
row_25	IRF3	3414	-0.08950970321893692	0.28782487	No	
row_26	STAT2	3770	-0.11713799834251404	0.26345006	No	
row_27	MX2	4067	-0.13899511098861694	0.24440877	No	
row_28	TYK2	5311	-0.24024054408073425	0.15378967	No	
row_29	IP6K2	5396	-0.24839699268341064	0.15487075	No	
row_30	GBP2	6338	-0.34005963802337646	0.09117778	No	
row_31	RNASEL	6735	-0.38303855061531067	0.071820036	No	
row_32	SAMHD1	6764	-0.387309193611145	0.081630655	No	
row_33	ISG20	7028	-0.4194066822528839	0.0738955	No	
row_34	IRF8	7203	-0.44016119837760925	0.07382669	No	
row_35	PTPN6	8299	-0.6060463786125183	0.006237563	No	
row_36	ADAR	8980	-0.7369921803474426	-0.024543557	No	
row_37	IFNAR1	9018	-0.7468441128730774	-0.004285147	No	
row_38	IFITM2	9391	-0.8272290825843811	-0.00796411	No	
row_39	PTPN11	10420	-1.137265682220459	-0.053780816	No	
row_40	SOCS3	10515	-1.1727793216705322	-0.024801204	No	
row_41	IRF2	10838	-1.2989197969436646	-0.0098965	No	
row_42	IRF4	11489	-1.6437047719955444	-0.010171395	No	
row_43	PTPN1	11561	-1.6849141120910645	0.03651669	No	
row_44	JAK1	11659	-1.7623628377914429	0.0835569	No	
