NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UBB	24	1.578321933746338	0.15239364	Yes	
row_1	UBA52	99	0.9018275737762451	0.23472041	Yes	
row_2	RPS27A	279	0.4883415699005127	0.2683578	Yes	
row_3	TOMM7	284	0.48506420850753784	0.31545871	Yes	
row_4	PINK1	388	0.3629313111305237	0.34282315	Yes	
row_5	MAP1LC3A	405	0.35396257042884827	0.37616345	Yes	
row_6	SQSTM1	487	0.30674928426742554	0.39976883	Yes	
row_7	UBC	731	0.20337514579296112	0.40050924	Yes	
row_8	TOMM6	757	0.19505834579467773	0.41760746	Yes	
row_9	TOMM40	922	0.15283085405826569	0.4196295	Yes	
row_10	TOMM5	1426	0.07095637917518616	0.38694686	No	
row_11	TOMM22	1463	0.06578323245048523	0.39054173	No	
row_12	TOMM20	3023	-0.06091827526688576	0.27370206	No	
row_13	ATG12	3701	-0.11114484816789627	0.23124279	No	
row_14	FUNDC1	3771	-0.11715243011713028	0.23725988	No	
row_15	ULK1	4380	-0.16461512446403503	0.20546223	No	
row_16	VDAC1	5218	-0.23293699324131012	0.162306	No	
row_17	CSNK2B	6513	-0.3571584224700928	0.09529706	No	
row_18	MFN1	7165	-0.4362221658229828	0.08666263	No	
row_19	MAP1LC3B	8982	-0.7383751273155212	0.015803045	No	
row_20	ATG5	9298	-0.8078489899635315	0.06996088	No	
row_21	CSNK2A1	9525	-0.8641725182533264	0.13663451	No	
row_22	CSNK2A2	10524	-1.174230933189392	0.17281042	No	
