NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL3L3	34	1.395564079284668	0.19013216	Yes	
row_1	CCL4L2	37	1.3807228803634644	0.38073277	Yes	
row_2	LGALS3	207	0.6079435348510742	0.45142218	Yes	
row_3	S100A12	497	0.2978404462337494	0.4698225	Yes	
row_4	ANXA1	1323	0.08399487286806107	0.41648692	No	
row_5	RPS19	1758	0.0324750691652298	0.38681114	No	
row_6	CCL4	1962	0.015229202806949615	0.37293595	No	
row_7	CCL5	2112	0.0042312792502343655	0.36179194	No	
row_8	TNFRSF11A	2644	-0.03500401973724365	0.32483017	No	
row_9	DEFB104B	4892	-0.20331527292728424	0.17604642	No	
row_10	MSMP	5574	-0.26350077986717224	0.15884602	No	
row_11	PDGFB	5831	-0.2891898453235626	0.1786488	No	
row_12	IL6R	7349	-0.456932008266449	0.12236646	No	
row_13	PTPRO	9605	-0.8838039040565491	0.06696797	No	
row_14	FLT1	10817	-1.2883374691009521	0.14963792	No	
