NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIK3R2	2752	-0.0430891290307045	-0.21501489	No	
row_1	KIRREL3	3450	-0.0914301797747612	-0.26639995	No	
row_2	MAGI2	5220	-0.23297439515590668	-0.3967811	No	
row_3	ACTN1	8476	-0.6359941959381104	-0.6287759	No	
row_4	CD2AP	9553	-0.8712329268455505	-0.6802483	No	
row_5	ACTN4	10904	-1.3251783847808838	-0.7359735	Yes	
row_6	PIK3R1	10935	-1.3340771198272705	-0.6874385	Yes	
row_7	WASL	11174	-1.459885835647583	-0.6504791	Yes	
row_8	NCK1	11233	-1.490061640739441	-0.59819746	Yes	
row_9	FYN	11478	-1.635472297668457	-0.55501163	Yes	
row_10	PIK3CB	11987	-2.009942054748535	-0.51832336	Yes	
row_11	SPTBN1	12054	-2.0741286277770996	-0.4443886	Yes	
row_12	PIK3CA	12138	-2.147890329360962	-0.36897814	Yes	
row_13	CASK	12350	-2.3974928855895996	-0.29412216	Yes	
row_14	IQGAP1	12384	-2.4746766090393066	-0.20230798	Yes	
row_15	NCK2	12576	-2.8861334323883057	-0.107235156	Yes	
row_16	SPTAN1	12631	-3.1017465591430664	0.006849298	Yes	
