NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HDAC5	2215	-0.0024136065039783716	-0.17443174	No	
row_1	NOTCH1	3036	-0.06238546594977379	-0.23712453	No	
row_2	HDAC10	3077	-0.06474634259939194	-0.23829387	No	
row_3	KAT2A	3159	-0.07086862623691559	-0.24250591	No	
row_4	HDAC11	3404	-0.08885751664638519	-0.259009	No	
row_5	HDAC6	4671	-0.1868358552455902	-0.35302958	No	
row_6	HDAC1	4784	-0.19664734601974487	-0.35583356	No	
row_7	SNW1	5375	-0.24598078429698944	-0.3947859	No	
row_8	HDAC2	5735	-0.2793382406234741	-0.41451812	No	
row_9	HDAC3	6146	-0.3213554322719574	-0.43698204	No	
row_10	HDAC7	6709	-0.3794769048690796	-0.46964186	No	
row_11	NCOR2	8844	-0.7084511518478394	-0.6160789	No	
row_12	MAMLD1	9477	-0.8536030054092407	-0.63973963	No	
row_13	TBL1X	10911	-1.3268615007400513	-0.71201855	Yes	
row_14	NOTCH2	11434	-1.6128374338150024	-0.70377135	Yes	
row_15	MAML1	11696	-1.7955656051635742	-0.669368	Yes	
row_16	RBPJ	12064	-2.0788815021514893	-0.6346428	Yes	
row_17	MAML2	12165	-2.1746959686279297	-0.5759493	Yes	
row_18	TBL1XR1	12181	-2.1942734718322754	-0.50995994	Yes	
row_19	MAML3	12188	-2.197619676589966	-0.44315904	Yes	
row_20	HDAC4	12196	-2.2039241790771484	-0.37624398	Yes	
row_21	HDAC8	12220	-2.229017734527588	-0.30982125	Yes	
row_22	CREBBP	12228	-2.2339439392089844	-0.24198718	Yes	
row_23	HDAC9	12554	-2.8321149349212646	-0.18089509	Yes	
row_24	NCOR1	12617	-3.05804181098938	-0.092166826	Yes	
row_25	KAT2B	12652	-3.2681643962860107	0.005199653	Yes	
