NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTCRA	1514	0.05866357311606407	-0.11617835	No	
row_1	NOTCH1	3036	-0.06238546594977379	-0.23271757	No	
row_2	KAT2A	3159	-0.07086862623691559	-0.23870067	No	
row_3	STAT1	3913	-0.12688396871089935	-0.29149172	No	
row_4	SNW1	5375	-0.24598078429698944	-0.39392942	No	
row_5	PBX1	6530	-0.35940834879875183	-0.4664073	No	
row_6	PLXND1	9033	-0.7502580881118774	-0.62502766	No	
row_7	MAMLD1	9477	-0.8536030054092407	-0.61629397	No	
row_8	MAML1	11696	-1.7955656051635742	-0.69916177	Yes	
row_9	RBPJ	12064	-2.0788815021514893	-0.6218548	Yes	
row_10	MAML2	12165	-2.1746959686279297	-0.5186363	Yes	
row_11	MAML3	12188	-2.197619676589966	-0.40810698	Yes	
row_12	CREBBP	12228	-2.2339439392089844	-0.29706028	Yes	
row_13	KAT2B	12652	-3.2681643962860107	-0.1634092	Yes	
row_14	EP300	12657	-3.2990565299987793	0.0048016696	Yes	
