NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC9A3R1	2158	0.0012385101290419698	-0.1698104	No	
row_1	TMEM201	3126	-0.06826223433017731	-0.24276745	No	
row_2	SUN2	4409	-0.16681590676307678	-0.33595657	No	
row_3	CEP120	9942	-0.9753950238227844	-0.72624683	Yes	
row_4	CLMN	10021	-0.998127818107605	-0.686171	Yes	
row_5	PAFAH1B1	10893	-1.3209599256515503	-0.69356847	Yes	
row_6	PCM1	11375	-1.5709201097488403	-0.65869325	Yes	
row_7	SYNE3	11829	-1.885697603225708	-0.60703903	Yes	
row_8	DCTN1	11839	-1.8947192430496216	-0.52001745	Yes	
row_9	DYNC1H1	11893	-1.9409010410308838	-0.43432108	Yes	
row_10	SYNE2	12018	-2.0397789478302	-0.34963518	Yes	
row_11	DOCK7	12037	-2.064263343811035	-0.25547177	Yes	
row_12	MTOR	12176	-2.1918163299560547	-0.16484818	Yes	
row_13	HOOK3	12226	-2.2332639694213867	-0.06529982	Yes	
row_14	FBXW11	12239	-2.245004177093506	0.037704613	Yes	
