NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UQCRB	23	1.6293460130691528	0.08314583	Yes	
row_1	NDUFA1	76	1.0385584831237793	0.13319144	Yes	
row_2	COX7C	169	0.684644877910614	0.16161923	Yes	
row_3	UQCR11	264	0.5011758208274841	0.18032166	Yes	
row_4	COX8A	321	0.43168964982032776	0.19840509	Yes	
row_5	COX5B	338	0.40931472182273865	0.2184843	Yes	
row_6	UQCRH	351	0.39897724986076355	0.2383407	Yes	
row_7	STOML2	389	0.3624100387096405	0.25431368	Yes	
row_8	NDUFA11	489	0.3059166371822357	0.26243874	Yes	
row_9	NDUFA13	504	0.29353922605514526	0.27663884	Yes	
row_10	UQCRQ	581	0.25436651706695557	0.28389424	Yes	
row_11	NDUFS5	598	0.24626079201698303	0.29547077	Yes	
row_12	NDUFS7	783	0.18752707540988922	0.29070187	Yes	
row_13	COX4I1	820	0.176255002617836	0.2970466	Yes	
row_14	NDUFC2	857	0.1652998924255371	0.3028201	Yes	
row_15	NDUFS3	870	0.1621602475643158	0.31032735	Yes	
row_16	COX6A1	982	0.14021189510822296	0.3088628	Yes	
row_17	NDUFA6	985	0.13983763754367828	0.31599668	Yes	
row_18	NDUFB2	1029	0.13225463032722473	0.3194935	Yes	
row_19	CYCS	1047	0.1295672506093979	0.32490587	Yes	
row_20	NDUFAF1	1178	0.10901327431201935	0.3203122	No	
row_21	CYC1	1255	0.09534213691949844	0.31927508	No	
row_22	NDUFA2	1397	0.07454463094472885	0.3120143	No	
row_23	NDUFV1	1440	0.06871801614761353	0.31227702	No	
row_24	NDUFA7	1451	0.0670538991689682	0.31498298	No	
row_25	NDUFA3	1583	0.05078563466668129	0.3072739	No	
row_26	NDUFB11	1588	0.05029550567269325	0.30958036	No	
row_27	SDHD	1668	0.04063613340258598	0.30545333	No	
row_28	NDUFA5	1683	0.03968722000718117	0.30641598	No	
row_29	NDUFB10	1710	0.03752947226166725	0.30631733	No	
row_30	NDUFB7	1721	0.03615869954228401	0.30741224	No	
row_31	CHCHD10	1729	0.03487110137939453	0.3086772	No	
row_32	COX5A	1730	0.034855592995882034	0.31049478	No	
row_33	NDUFA4	1759	0.032335296273231506	0.30996716	No	
row_34	NDUFS8	1832	0.026959802955389023	0.3056804	No	
row_35	COX7B	1881	0.02204229310154915	0.30303475	No	
row_36	NDUFB9	1907	0.020131919533014297	0.30210796	No	
row_37	COX6C	2136	0.0030057011172175407	0.28423813	No	
row_38	SURF1	2251	-0.0045151361264288425	0.2754603	No	
row_39	UQCRC1	2386	-0.014416011050343513	0.2656175	No	
row_40	NDUFB1	2461	-0.018806200474500656	0.26074743	No	
row_41	NDUFB5	2520	-0.02400188520550728	0.25741333	No	
row_42	NDUFB6	2869	-0.05008164420723915	0.23251069	No	
row_43	NDUFB8	3081	-0.06491740047931671	0.2192134	No	
row_44	COX7A2L	3216	-0.07574155926704407	0.21256848	No	
row_45	UQCRFS1	3257	-0.07838675379753113	0.2134935	No	
row_46	NDUFC1	3342	-0.08392291516065598	0.2112284	No	
row_47	NDUFV3	3533	-0.09768819808959961	0.20130034	No	
row_48	NDUFAB1	3569	-0.10047861188650131	0.20377268	No	
row_49	COA6	3586	-0.10266964882612228	0.2078615	No	
row_50	NDUFA8	3621	-0.10519929230213165	0.21065907	No	
row_51	NDUFB4	3649	-0.10754915326833725	0.21413264	No	
row_52	COX6B1	3790	-0.11861515790224075	0.20924903	No	
row_53	NDUFB3	3846	-0.12269110232591629	0.21129839	No	
row_54	NDUFS6	4043	-0.13717716932296753	0.20295516	No	
row_55	UQCR10	4153	-0.14566850662231445	0.20193326	No	
row_56	TAZ	4487	-0.1732613742351532	0.18463992	No	
row_57	UQCRC2	4578	-0.17962802946567535	0.1868911	No	
row_58	NDUFS2	5330	-0.24131084978580475	0.14009757	No	
row_59	NDUFA9	5941	-0.29950085282325745	0.107486464	No	
row_60	SDHA	6437	-0.34785935282707214	0.0864894	No	
row_61	TEFM	6540	-0.3606531620025635	0.097231604	No	
row_62	NDUFA12	7407	-0.46574658155441284	0.05304922	No	
row_63	COX15	7836	-0.5296273827552795	0.046827964	No	
row_64	NDUFS1	8021	-0.5588099956512451	0.06142006	No	
row_65	SDHAF2	8619	-0.6627695560455322	0.048779875	No	
row_66	NDUFV2	9295	-0.8069299459457397	0.037490133	No	
row_67	SDHC	9547	-0.8682159185409546	0.06291931	No	
row_68	COX10	10135	-1.0360044240951538	0.07053256	No	
row_69	NDUFA10	10157	-1.0406467914581299	0.123138055	No	
row_70	NDUFS4	11281	-1.5200631618499756	0.11361492	No	
