NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HIST1H1E	80	1.028411865234375	0.011189254	No	
row_1	CEBPA	339	0.40893131494522095	-0.0022054233	No	
row_2	HIST1H2AK	437	0.32862573862075806	-0.004265485	No	
row_3	MAP2K2	678	0.21745367348194122	-0.019498514	No	
row_4	CTBP1	695	0.2140708863735199	-0.017117916	No	
row_5	MYBL1	1485	0.06318286806344986	-0.07828635	No	
row_6	ERBB2	1491	0.06206517666578293	-0.07762464	No	
row_7	DTX4	1572	0.052975911647081375	-0.08303429	No	
row_8	HRAS	1835	0.026820946484804153	-0.10324687	No	
row_9	NOTCH1	3036	-0.06238546594977379	-0.19685236	No	
row_10	CMTR2	3269	-0.07929331809282303	-0.21380533	No	
row_11	MORF4L1	3724	-0.112712062895298	-0.24770303	No	
row_12	BRCA1	4174	-0.1469264179468155	-0.28062406	No	
row_13	MYB	4452	-0.1706840544939041	-0.29957187	No	
row_14	SMARCE1	4469	-0.17217063903808594	-0.29790428	No	
row_15	MYCBP	5359	-0.24425265192985535	-0.3638804	No	
row_16	CHEK2	5809	-0.2873677611351013	-0.39441156	No	
row_17	RAF1	6120	-0.3194478452205658	-0.4134312	No	
row_18	PTEN	9658	-0.898248016834259	-0.6771771	No	
row_19	MYC	9872	-0.9579246044158936	-0.67767954	No	
row_20	BCORL1	10598	-1.203902244567871	-0.71438754	Yes	
row_21	ATM	10778	-1.2759441137313843	-0.7067961	Yes	
row_22	ARID4B	10830	-1.295547366142273	-0.6887732	Yes	
row_23	KDM6B	11017	-1.3777713775634766	-0.6800012	Yes	
row_24	BCOR	11033	-1.384390950202942	-0.6576265	Yes	
row_25	MGA	11185	-1.4659028053283691	-0.64459366	Yes	
row_26	FOXO3	11859	-1.9128602743148804	-0.66513515	Yes	
row_27	KANSL1	11956	-1.9820972681045532	-0.6389793	Yes	
row_28	FBXW7	12034	-2.060272455215454	-0.6099943	Yes	
row_29	PIK3CA	12138	-2.147890329360962	-0.58156943	Yes	
row_30	JMJD1C	12170	-2.182699203491211	-0.5468722	Yes	
row_31	SETD2	12199	-2.2082102298736572	-0.5115042	Yes	
row_32	CREBBP	12228	-2.2339439392089844	-0.47569826	Yes	
row_33	ARID5B	12450	-2.5954208374023438	-0.44896674	Yes	
row_34	KAT6A	12505	-2.710369110107422	-0.40710467	Yes	
row_35	TLK1	12591	-2.91818904876709	-0.3641517	Yes	
row_36	SRCAP	12613	-3.032130479812622	-0.31421086	Yes	
row_37	NCOR1	12617	-3.05804181098938	-0.2624091	Yes	
row_38	PRKDC	12628	-3.0930676460266113	-0.21056354	Yes	
row_39	KMT2C	12633	-3.1036875247955322	-0.15806392	Yes	
row_40	SMC1A	12634	-3.1088757514953613	-0.10516046	Yes	
row_41	ARID1A	12651	-3.2608447074890137	-0.050933186	Yes	
row_42	EP300	12657	-3.2990565299987793	0.004812119	Yes	
