NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GGT1	1650	0.04293033480644226	-0.12758422	No	
row_1	NAALADL1	3129	-0.06859283894300461	-0.24024248	No	
row_2	CHAC2	3678	-0.10951202362775803	-0.27747586	No	
row_3	ADAMTS13	4740	-0.19219380617141724	-0.350635	No	
row_4	CTSH	5077	-0.2209593504667282	-0.36516425	No	
row_5	ECE1	6126	-0.3197343945503235	-0.43041763	No	
row_6	GGT7	7281	-0.4499674439430237	-0.49698856	No	
row_7	XPNPEP1	7760	-0.5193336009979248	-0.50659645	No	
row_8	LTA4H	11509	-1.655078649520874	-0.71235776	Yes	
row_9	CPQ	11524	-1.6613847017288208	-0.6238093	Yes	
row_10	ERAP1	11575	-1.6950260400772095	-0.53627974	Yes	
row_11	ANPEP	11700	-1.7967947721481323	-0.4490844	Yes	
row_12	IDE	11725	-1.8124487400054932	-0.3531716	Yes	
row_13	LNPEP	11782	-1.8507956266403198	-0.25770882	Yes	
row_14	ERAP2	11803	-1.86625075340271	-0.15857786	Yes	
row_15	NPEPPS	11937	-1.9681978225708008	-0.06284194	Yes	
row_16	TPP1	12280	-2.3025636672973633	0.03448273	Yes	
