NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DOK1	966	0.14331015944480896	-0.071362615	No	
row_1	HRAS	1835	0.026820946484804153	-0.13885923	No	
row_2	JUN	1862	0.024086778983473778	-0.14011054	No	
row_3	MAPK3	3798	-0.11899831891059875	-0.28861895	No	
row_4	SRC	4842	-0.2004692107439041	-0.36415642	No	
row_5	DOK4	5140	-0.22767870128154755	-0.38002095	No	
row_6	RAC1	5255	-0.23613891005516052	-0.38118812	No	
row_7	IRS1	6089	-0.31573405861854553	-0.4363668	No	
row_8	CRK	6283	-0.3344680666923523	-0.440504	No	
row_9	PDLIM7	6393	-0.3447718024253845	-0.43768248	No	
row_10	SHC1	7712	-0.5130814909934998	-0.52454066	No	
row_11	DOK6	10143	-1.0377668142318726	-0.68164366	Yes	
row_12	GRB2	10168	-1.0448977947235107	-0.64895743	Yes	
row_13	MAPK8	10333	-1.100083351135254	-0.6254747	Yes	
row_14	PTPN11	10420	-1.137265682220459	-0.5946164	Yes	
row_15	CREB1	10638	-1.2135140895843506	-0.5715556	Yes	
row_16	PIK3R1	10935	-1.3340771198272705	-0.55072916	Yes	
row_17	MAPK1	11007	-1.3732831478118896	-0.510879	Yes	
row_18	PXN	11061	-1.400757908821106	-0.46870157	Yes	
row_19	NCK1	11233	-1.490061640739441	-0.4328654	Yes	
row_20	RAP1A	11243	-1.4956825971603394	-0.38408032	Yes	
row_21	FRS2	11815	-1.8733410835266113	-0.36707437	Yes	
row_22	PIK3CA	12138	-2.147890329360962	-0.3213661	Yes	
row_23	PRKCA	12542	-2.7972207069396973	-0.26055208	Yes	
row_24	SOS1	12592	-2.9256246089935303	-0.16759962	Yes	
row_25	GRB10	12716	-5.362354278564453	1.5750778E-4	Yes	
