NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UBB	24	1.578321933746338	0.2070863	Yes	
row_1	UBA52	99	0.9018275737762451	0.32066542	Yes	
row_2	RPS27A	279	0.4883415699005127	0.37123036	Yes	
row_3	TOMM7	284	0.48506420850753784	0.4351398	Yes	
row_4	PINK1	388	0.3629313111305237	0.4750837	Yes	
row_5	MAP1LC3A	405	0.35396257042884827	0.52068996	Yes	
row_6	SQSTM1	487	0.30674928426742554	0.5549273	Yes	
row_7	UBC	731	0.20337514579296112	0.5627226	Yes	
row_8	TOMM6	757	0.19505834579467773	0.58658075	Yes	
row_9	TOMM40	922	0.15283085405826569	0.5939038	Yes	
row_10	TOMM5	1426	0.07095637917518616	0.5636955	No	
row_11	TOMM22	1463	0.06578323245048523	0.569571	No	
row_12	TOMM20	3023	-0.06091827526688576	0.45489058	No	
row_13	ATG12	3701	-0.11114484816789627	0.4163037	No	
row_14	VDAC1	5218	-0.23293699324131012	0.32778478	No	
row_15	MFN1	7165	-0.4362221658229828	0.23232599	No	
row_16	MAP1LC3B	8982	-0.7383751273155212	0.18710883	No	
row_17	ATG5	9298	-0.8078489899635315	0.26926994	No	
