NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LFNG	132	0.7917662262916565	0.0028408116	No	
row_1	MFNG	798	0.18361517786979675	-0.04654681	No	
row_2	TMED2	1115	0.1188821941614151	-0.069485724	No	
row_3	SIRT6	1346	0.0810263529419899	-0.086273864	No	
row_4	RFNG	1394	0.07477709650993347	-0.08872989	No	
row_5	JUN	1862	0.024086778983473778	-0.12516795	No	
row_6	NOTCH1	3036	-0.06238546594977379	-0.2166607	No	
row_7	KAT2A	3159	-0.07086862623691559	-0.22509885	No	
row_8	MOV10	3902	-0.1262470781803131	-0.2815213	No	
row_9	FURIN	5043	-0.2176496982574463	-0.36781156	No	
row_10	ATP2A3	5335	-0.2421186864376068	-0.38671526	No	
row_11	SNW1	5375	-0.24598078429698944	-0.3856742	No	
row_12	POFUT1	7182	-0.43831387162208557	-0.5208108	No	
row_13	PRKCI	8049	-0.5625707507133484	-0.57971144	No	
row_14	POGLUT1	8305	-0.6071996688842773	-0.5896636	No	
row_15	MAMLD1	9477	-0.8536030054092407	-0.6677536	No	
row_16	ST3GAL6	10189	-1.050619125366211	-0.70625645	Yes	
row_17	TFDP2	10199	-1.05319344997406	-0.68933594	Yes	
row_18	ST3GAL4	10260	-1.0759813785552979	-0.67605734	Yes	
row_19	B4GALT1	10350	-1.1075553894042969	-0.66453797	Yes	
row_20	AGO4	10713	-1.2491414546966553	-0.67218524	Yes	
row_21	AGO2	10781	-1.276674747467041	-0.65609926	Yes	
row_22	SEL1L	11347	-1.5603007078170776	-0.6745522	Yes	
row_23	ST3GAL3	11371	-1.5685611963272095	-0.6501089	Yes	
row_24	NOTCH2	11434	-1.6128374338150024	-0.62800103	Yes	
row_25	TNRC6C	11644	-1.7497364282608032	-0.61519825	Yes	
row_26	ATP2A2	11694	-1.7916454076766968	-0.58907163	Yes	
row_27	MAML1	11696	-1.7955656051635742	-0.5590927	Yes	
row_28	AGO1	11834	-1.8912203311920166	-0.53824145	Yes	
row_29	TFDP1	11862	-1.9133896827697754	-0.50834125	Yes	
row_30	E2F3	11951	-1.9767556190490723	-0.48219255	Yes	
row_31	AGO3	11957	-1.9821891784667969	-0.44940507	Yes	
row_32	RBPJ	12064	-2.0788815021514893	-0.4229668	Yes	
row_33	MAML2	12165	-2.1746959686279297	-0.39445126	Yes	
row_34	MAML3	12188	-2.197619676589966	-0.3593986	Yes	
row_35	CREBBP	12228	-2.2339439392089844	-0.325079	Yes	
row_36	TNRC6A	12307	-2.339871406555176	-0.29206282	Yes	
row_37	TNRC6B	12573	-2.883434772491455	-0.26469967	Yes	
row_38	RAB6A	12615	-3.0478405952453613	-0.2169132	Yes	
row_39	RUNX1	12621	-3.066394805908203	-0.16597609	Yes	
row_40	KAT2B	12652	-3.2681643962860107	-0.113633595	Yes	
row_41	EP300	12657	-3.2990565299987793	-0.05872285	Yes	
row_42	TP53	12690	-3.790682554244995	0.0022088364	Yes	
