NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SIRT6	1346	0.0810263529419899	-0.104292594	No	
row_1	JUN	1862	0.024086778983473778	-0.14434731	No	
row_2	NOTCH1	3036	-0.06238546594977379	-0.23541467	No	
row_3	KAT2A	3159	-0.07086862623691559	-0.24348247	No	
row_4	MOV10	3902	-0.1262470781803131	-0.29919624	No	
row_5	SNW1	5375	-0.24598078429698944	-0.40982023	No	
row_6	PRKCI	8049	-0.5625707507133484	-0.60817486	No	
row_7	MAMLD1	9477	-0.8536030054092407	-0.7020036	No	
row_8	TFDP2	10199	-1.05319344997406	-0.7358502	No	
row_9	AGO4	10713	-1.2491414546966553	-0.7490345	Yes	
row_10	AGO2	10781	-1.276674747467041	-0.7264755	Yes	
row_11	NOTCH2	11434	-1.6128374338150024	-0.7426819	Yes	
row_12	TNRC6C	11644	-1.7497364282608032	-0.7209966	Yes	
row_13	MAML1	11696	-1.7955656051635742	-0.6858622	Yes	
row_14	AGO1	11834	-1.8912203311920166	-0.65541846	Yes	
row_15	TFDP1	11862	-1.9133896827697754	-0.61582375	Yes	
row_16	E2F3	11951	-1.9767556190490723	-0.57965386	Yes	
row_17	AGO3	11957	-1.9821891784667969	-0.5368254	Yes	
row_18	RBPJ	12064	-2.0788815021514893	-0.49984697	Yes	
row_19	MAML2	12165	-2.1746959686279297	-0.46030647	Yes	
row_20	MAML3	12188	-2.197619676589966	-0.41412002	Yes	
row_21	CREBBP	12228	-2.2339439392089844	-0.36848107	Yes	
row_22	TNRC6A	12307	-2.339871406555176	-0.32360533	Yes	
row_23	TNRC6B	12573	-2.883434772491455	-0.28161186	Yes	
row_24	RUNX1	12621	-3.066394805908203	-0.21845134	Yes	
row_25	KAT2B	12652	-3.2681643962860107	-0.14955162	Yes	
row_26	EP300	12657	-3.2990565299987793	-0.07792959	Yes	
row_27	TP53	12690	-3.790682554244995	0.0022062443	Yes	
