NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NT5M	78	1.0346224308013916	0.23575673	Yes	
row_1	CMPK2	134	0.7757401466369629	0.41279677	Yes	
row_2	NT5C	754	0.19550253450870514	0.4097808	No	
row_3	NEIL1	2481	-0.020635776221752167	0.27874276	No	
row_4	UNG	2898	-0.05230414494872093	0.25822598	No	
row_5	DCTPP1	2943	-0.05509854853153229	0.26764464	No	
row_6	DUT	2982	-0.05780487880110741	0.27816832	No	
row_7	DTYMK	3314	-0.08252078294754028	0.27140704	No	
row_8	NEIL2	3641	-0.10709472745656967	0.27078477	No	
row_9	TYMS	4238	-0.1531095653772354	0.2596677	No	
row_10	SMUG1	4311	-0.15954218804836273	0.29130143	No	
row_11	OGG1	5786	-0.28489023447036743	0.24188282	No	
row_12	DCTD	6433	-0.34758761525154114	0.2722993	No	
row_13	TDG	7236	-0.4451241195201874	0.31324035	No	
row_14	MBD4	7660	-0.5055506229400635	0.39814237	No	
