NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AKT1	443	0.32576823234558105	-0.020909466	No	
row_1	AKT2	1879	0.022332558408379555	-0.13290891	No	
row_2	NOTCH1	3036	-0.06238546594977379	-0.22123021	No	
row_3	KAT2A	3159	-0.07086862623691559	-0.22779627	No	
row_4	SNW1	5375	-0.24598078429698944	-0.3916088	No	
row_5	MAMLD1	9477	-0.8536030054092407	-0.67783767	No	
row_6	MAML1	11696	-1.7955656051635742	-0.77547586	Yes	
row_7	AKT3	11909	-1.9496595859527588	-0.708607	Yes	
row_8	RBPJ	12064	-2.0788815021514893	-0.6316346	Yes	
row_9	MAML2	12165	-2.1746959686279297	-0.54630524	Yes	
row_10	MAML3	12188	-2.197619676589966	-0.45385367	Yes	
row_11	CREBBP	12228	-2.2339439392089844	-0.3611835	Yes	
row_12	FOXO1	12527	-2.75490140914917	-0.26657397	Yes	
row_13	KAT2B	12652	-3.2681643962860107	-0.13627103	Yes	
row_14	EP300	12657	-3.2990565299987793	0.004801671	Yes	
