NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FKBP1B	1437	0.06903534382581711	-0.111811325	No	
row_1	FXYD6	1903	0.020314276218414307	-0.14803615	No	
row_2	RANGRF	2873	-0.05070841684937477	-0.22334322	No	
row_3	RYR1	3732	-0.11333513259887695	-0.2885468	No	
row_4	SRI	3808	-0.11979687213897705	-0.29187477	No	
row_5	NPR2	4152	-0.14559967815876007	-0.31577647	No	
row_6	RYR3	4368	-0.16390486061573029	-0.32919085	No	
row_7	DMPK	4791	-0.1970764696598053	-0.35821038	No	
row_8	ATP2A3	5335	-0.2421186864376068	-0.39579815	No	
row_9	ATP1B3	5478	-0.2548496723175049	-0.401494	No	
row_10	CALM1	5860	-0.2924845814704895	-0.42522174	No	
row_11	CALM2	5861	-0.2924845814704895	-0.41890925	No	
row_12	CALM3	5862	-0.2924845814704895	-0.4125968	No	
row_13	TNNI3K	6166	-0.32334303855895996	-0.42950857	No	
row_14	PRKACA	6173	-0.3238920569419861	-0.42299134	No	
row_15	ATP1B1	7215	-0.4420395493507385	-0.4955295	No	
row_16	TRPC1	8339	-0.6130408048629761	-0.57084244	No	
row_17	FLNA	8629	-0.663952112197876	-0.5792993	No	
row_18	ANK2	9252	-0.7974660396575928	-0.6111302	No	
row_19	AHCYL1	10001	-0.9915256500244141	-0.6487074	No	
row_20	ITPR3	10521	-1.1736154556274414	-0.6642991	No	
row_21	ATP1A1	10735	-1.2589174509048462	-0.653923	No	
row_22	CAMK2D	11513	-1.6580491065979004	-0.67940164	Yes	
row_23	ATP2B1	11528	-1.6631824970245361	-0.6446103	Yes	
row_24	TMEM65	11693	-1.7882053852081299	-0.6189475	Yes	
row_25	ATP2A2	11694	-1.7916454076766968	-0.58027977	Yes	
row_26	PDE4D	11783	-1.8517223596572876	-0.5472539	Yes	
row_27	ITPR1	12041	-2.0687432289123535	-0.5228691	Yes	
row_28	ITPR2	12063	-2.078794479370117	-0.47965986	Yes	
row_29	STIM1	12263	-2.284181833267212	-0.44605237	Yes	
row_30	SLC8A1	12525	-2.750812292098999	-0.4072624	Yes	
row_31	ABCC9	12590	-2.916046619415283	-0.34937373	Yes	
row_32	RYR2	12598	-2.969132661819458	-0.28584513	Yes	
row_33	ASPH	12694	-4.103688716888428	-0.20476867	Yes	
row_34	ATP2B4	12704	-4.485107898712158	-0.108679615	Yes	
row_35	CORIN	12713	-5.0830979347229	3.9425187E-4	Yes	
