NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LLGL2	1068	0.12690064311027527	-0.078511946	No	
row_1	KIF20B	2219	-0.002701515331864357	-0.16892332	No	
row_2	LLGL1	2821	-0.047216616570949554	-0.21416524	No	
row_3	GSN	4069	-0.1390104442834854	-0.30623752	No	
row_4	TEK	4973	-0.21083366870880127	-0.3680812	No	
row_5	RAP1B	10301	-1.0891382694244385	-0.73968863	Yes	
row_6	KRIT1	10572	-1.1941279172897339	-0.708599	Yes	
row_7	FLOT2	10797	-1.2836636304855347	-0.66996324	Yes	
row_8	RUFY3	11299	-1.5313910245895386	-0.6422743	Yes	
row_9	ROCK1	11729	-1.8135910034179688	-0.59654725	Yes	
row_10	ROCK2	11770	-1.8394043445587158	-0.5190659	Yes	
row_11	ARFGEF1	11807	-1.8688818216323853	-0.4399776	Yes	
row_12	DOCK8	11873	-1.9204826354980469	-0.36091024	Yes	
row_13	BCAS3	11952	-1.977622389793396	-0.28036156	Yes	
row_14	PTK2B	12396	-2.4921815395355225	-0.20599058	Yes	
row_15	KANK1	12715	-5.275704860687256	2.3614927E-4	Yes	
