NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPS2	2609	-0.03285761550068855	-0.2045625	No	
row_1	MOV10	3902	-0.1262470781803131	-0.30257067	No	
row_2	HDAC1	4784	-0.19664734601974487	-0.36609077	No	
row_3	LBR	5087	-0.2219158560037613	-0.38323858	No	
row_4	HDAC2	5735	-0.2793382406234741	-0.42584732	No	
row_5	CALM1	5860	-0.2924845814704895	-0.4268586	No	
row_6	HDAC3	6146	-0.3213554322719574	-0.43968958	No	
row_7	PRKACA	6173	-0.3238920569419861	-0.43203962	No	
row_8	CAMK2G	8140	-0.5794332027435303	-0.5695782	No	
row_9	NCOR2	8844	-0.7084511518478394	-0.6037498	No	
row_10	CREB1	10638	-1.2135140895843506	-0.70867246	Yes	
row_11	AGO4	10713	-1.2491414546966553	-0.67709935	Yes	
row_12	AGO2	10781	-1.276674747467041	-0.6441503	Yes	
row_13	TBL1X	10911	-1.3268615007400513	-0.61458313	Yes	
row_14	HTT	11429	-1.6091171503067017	-0.6071324	Yes	
row_15	CAMK2D	11513	-1.6580491065979004	-0.5640243	Yes	
row_16	TNRC6C	11644	-1.7497364282608032	-0.5218738	Yes	
row_17	CAMK4	11672	-1.7732239961624146	-0.47090518	Yes	
row_18	AGO1	11834	-1.8912203311920166	-0.42696044	Yes	
row_19	HIPK2	11914	-1.9528491497039795	-0.37471008	Yes	
row_20	AGO3	11957	-1.9821891784667969	-0.31866622	Yes	
row_21	SIN3A	12147	-2.1559062004089355	-0.2690019	Yes	
row_22	TBL1XR1	12181	-2.1942734718322754	-0.20589852	Yes	
row_23	TNRC6A	12307	-2.339871406555176	-0.14568359	Yes	
row_24	TNRC6B	12573	-2.883434772491455	-0.080222405	Yes	
row_25	NCOR1	12617	-3.05804181098938	0.007956998	Yes	
