NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OAS3	138	0.7703262567520142	0.083862185	Yes	
row_1	OASL	159	0.6930991411209106	0.16752025	Yes	
row_2	OAS1	231	0.5725163221359253	0.2323334	Yes	
row_3	HMGB1	246	0.5334646701812744	0.2968331	Yes	
row_4	GZMA	287	0.4787614345550537	0.35255817	Yes	
row_5	HMGB2	368	0.38023343682289124	0.39301676	Yes	
row_6	AKT1	443	0.32576823234558105	0.4272501	Yes	
row_7	PCNA	615	0.23979398608207703	0.4432718	Yes	
row_8	NPM1	704	0.21153894066810608	0.46235535	Yes	
row_9	RPS3	915	0.15381665527820587	0.46473274	Yes	
row_10	OAS2	2013	0.011195824481546879	0.37971798	No	
row_11	NEIL1	2481	-0.020635776221752167	0.3454782	No	
row_12	ABCE1	3287	-0.08059417456388474	0.29199338	No	
row_13	DFFA	4818	-0.198974609375	0.19597065	No	
row_14	HSPA1A	5247	-0.23529475927352905	0.19119968	No	
row_15	TMBIM6	5653	-0.27098116278648376	0.1926285	No	
row_16	DDX11	7211	-0.4415592551231384	0.12431105	No	
row_17	TERF1	8087	-0.5670585036277771	0.12513597	No	
row_18	PRKCD	8097	-0.5704638361930847	0.19457938	No	
row_19	TERF2	8631	-0.6650574803352356	0.23438899	No	
row_20	SIRT1	8854	-0.7106701135635376	0.3042998	No	
