NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MOV10	3902	-0.1262470781803131	-0.301983	No	
row_1	SRC	4842	-0.2004692107439041	-0.36766356	No	
row_2	PML	7476	-0.4735427796840668	-0.5554756	No	
row_3	CBFB	7764	-0.5195416212081909	-0.5567164	No	
row_4	PTPN11	10420	-1.137265682220459	-0.7189824	Yes	
row_5	AGO4	10713	-1.2491414546966553	-0.6906314	Yes	
row_6	AGO2	10781	-1.276674747467041	-0.64343655	Yes	
row_7	CCND2	10880	-1.314385175704956	-0.59713215	Yes	
row_8	CDK6	10967	-1.3489660024642944	-0.5484619	Yes	
row_9	TNRC6C	11644	-1.7497364282608032	-0.5297664	Yes	
row_10	AGO1	11834	-1.8912203311920166	-0.46691874	Yes	
row_11	AGO3	11957	-1.9821891784667969	-0.39505804	Yes	
row_12	TNRC6A	12307	-2.339871406555176	-0.326367	Yes	
row_13	CCND3	12531	-2.7727887630462646	-0.22996482	Yes	
row_14	TNRC6B	12573	-2.883434772491455	-0.114687964	Yes	
row_15	RUNX1	12621	-3.066394805908203	0.007635924	Yes	
