NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FIS1	30	1.4468684196472168	0.17540969	Yes	
row_1	IFI6	50	1.2553608417510986	0.3281555	Yes	
row_2	SOD2	293	0.46904823184013367	0.36673507	Yes	
row_3	BAX	462	0.3179117739200592	0.39257047	Yes	
row_4	BBC3	969	0.1427081674337387	0.37027138	No	
row_5	BAK1	1207	0.10294236987829208	0.36426252	No	
row_6	BOK	1431	0.06999912858009338	0.35530815	No	
row_7	TIMM50	1819	0.02794075571000576	0.3282759	No	
row_8	CLU	2414	-0.01598529890179634	0.28347933	No	
row_9	BID	2445	-0.017976848408579826	0.28332642	No	
row_10	BCL2L1	2524	-0.02420920692384243	0.28016064	No	
row_11	GGCT	3575	-0.10115564614534378	0.20993161	No	
row_12	BAD	4397	-0.1662490963935852	0.16572762	No	
row_13	MFF	7087	-0.42670559883117676	0.006473065	No	
row_14	DNM1L	9492	-0.8563413619995117	-0.0775581	No	
row_15	BCL2	12498	-2.6975274085998535	0.017318722	No	
