NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFIT1	5	2.070801258087158	0.06746675	Yes	
row_1	ISG15	10	1.8358725309371948	0.12731366	Yes	
row_2	RSAD2	12	1.779763102531433	0.18555853	Yes	
row_3	IFIT3	27	1.5178468227386475	0.2341946	Yes	
row_4	IFI27	28	1.516384243965149	0.2838873	Yes	
row_5	IFIT2	49	1.2616031169891357	0.32365277	Yes	
row_6	IFI6	50	1.2553608417510986	0.3647916	Yes	
row_7	MX1	106	0.8791947960853577	0.38926402	Yes	
row_8	IFIT5	128	0.80006343126297	0.41382572	Yes	
row_9	IFITM3	135	0.7730624079704285	0.43868598	Yes	
row_10	OAS3	138	0.7703262567520142	0.46377218	Yes	
row_11	OASL	159	0.6930991411209106	0.4849075	Yes	
row_12	OAS1	231	0.5725163221359253	0.4980676	Yes	
row_13	IFI35	366	0.38168400526046753	0.5000036	Yes	
row_14	IRF7	606	0.2446596771478653	0.4891652	No	
row_15	BST2	814	0.17903751134872437	0.47870097	No	
row_16	IRF1	948	0.14694848656654358	0.47302344	No	
row_17	IRF5	1133	0.11533155292272568	0.46228614	No	
row_18	PSMB8	1151	0.11339554935693741	0.46466097	No	
row_19	XAF1	1358	0.0793994665145874	0.45101047	No	
row_20	IFITM1	1459	0.06626362353563309	0.4452924	No	
row_21	IRAK1	1705	0.038099054247140884	0.42721155	No	
row_22	OAS2	2013	0.011195824481546879	0.40335754	No	
row_23	IRF9	2384	-0.014251216314733028	0.37463322	No	
row_24	IRF3	3414	-0.08950970321893692	0.29638308	No	
row_25	STAT2	3770	-0.11713799834251404	0.27221385	No	
row_26	STAT1	3913	-0.12688396871089935	0.26516876	No	
row_27	MX2	4067	-0.13899511098861694	0.2576527	No	
row_28	TYK2	5311	-0.24024054408073425	0.16745844	No	
row_29	IP6K2	5396	-0.24839699268341064	0.16897132	No	
row_30	GBP2	6338	-0.34005963802337646	0.10587461	No	
row_31	RNASEL	6735	-0.38303855061531067	0.087184384	No	
row_32	SAMHD1	6764	-0.387309193611145	0.097667634	No	
row_33	ISG20	7028	-0.4194066822528839	0.0906623	No	
row_34	IRF8	7203	-0.44016119837760925	0.091358796	No	
row_35	ADAR	8980	-0.7369921803474426	-0.024607928	No	
row_36	IFNAR1	9018	-0.7468441128730774	-0.003052593	No	
row_37	IFITM2	9391	-0.8272290825843811	-0.0052929805	No	
row_38	MYD88	9569	-0.8747479915618896	0.009408467	No	
row_39	IFNAR2	9810	-0.9426199793815613	0.0213637	No	
row_40	IRF2	10838	-1.2989197969436646	-0.017095668	No	
row_41	SP100	11475	-1.6345138549804688	-0.01370932	No	
row_42	IRF4	11489	-1.6437047719955444	0.039130095	No	
row_43	JAK1	11659	-1.7623628377914429	0.083550304	No	
