"EnrichmentMap::Colouring (GSEAresults)","EnrichmentMap::ES (GSEAresults)","EnrichmentMap::fdr_qvalue (GSEAresults)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (GSEAresults)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (GSEAresults)","EnrichmentMap::pvalue (GSEAresults)","name","selected","shared name"
"0.99",,"1.0","TELOMERE 
MAINTENANCE%GOBP%GO:0000723 ",,"CDK2|TEN1|DCLRE1A|PINX1|PPP6R3|ATM|RAD50|TELO2|DKC1|NHP2|GAR1|NOP10|PCNA|UPF1|TNKS1BP1|PARP1|SMARCAL1|ATR|WRN|RFC1|PRIM2|PRIM1|PARP3|RFC3|POLA1|POLA2|DCLRE1B|RTEL1|TFIP11|ERCC4|TINF2|TERF1|SP100|ERCC1|TERF2|HSP90AB1|XRCC3|DCLRE1C|TPRKB|RAD51D|ZBTB48|ACD|ANKRD28|WRAP53|SHQ1|XRCC5|TEP1|RFC2|POLD1|POT1|RPA3|DNA2|CHTF8|POLD3|RPA1|CHTF18|POLD4|POLD2|TERF2IP|HSP90AA1|SMC6|RFC5|RFC4|PPP6C|PTGES3|APEX1|ZNF365|FEN1|SMC5|NSMCE2|HUS1|BLM|SLX4|SLX1B|RPA2|NBN|XRCC6|PRKDC|RIF1|CTC1","telomere maintenance","80","ENR","TELOMERE MAINTENANCE%GOBP%GO:0000723","1.0","0.01","TELOMERE MAINTENANCE%GOBP%GO:0000723","false","TELOMERE MAINTENANCE%GOBP%GO:0000723"
"0.99",,"1.0","POSITIVE 
REGULATION OF 
IMMUNOGLOBULIN 
PRODUCTION%GOBP%GO:0002639 ",,"SASH3|TGFB1|TFRC|PHB|EPHB2|TLR9|PTPRC|CD86|TNFSF13|TP53BP1|MZB1|MAD2L2|TNFSF4|HMCES|DNAJB9|GPI|CLCF1|PAXIP1|VAMP3|XBP1|STX4|RIF1|PHB2|CD40","positive regulation of immunoglobulin production","24","ENR","POSITIVE REGULATION OF IMMUNOGLOBULIN PRODUCTION%GOBP%GO:0002639","1.0","0.01","POSITIVE REGULATION OF IMMUNOGLOBULIN PRODUCTION%GOBP%GO:0002639","false","POSITIVE REGULATION OF IMMUNOGLOBULIN PRODUCTION%GOBP%GO:0002639"
"0.99",,"1.0","REGULATION OF 
STRESS-ACTIVATED 
PROTEIN KINASE 
SIGNALING 
CASCADE%GOBP%GO:0070302 ",,"GSTP1|EPHB1|AXIN1|MYC|EIF2AK2|PHLPP1|HRAS|CCR7|FKTN|DUSP1|SEMA3A|TRAF6|NCOR1|MBIP|SH3RF1|MAP2K2|MLKL|MAP4K2|CD40LG|TLR6|DNAJA1|ARHGEF5|MAP4K5|MAP3K9|MAPK1|MUL1|PTK2B|TNFRSF11A|TAOK1|MAP3K2|TNF|MAPK3|RIPK2|DAXX|IGF1R|MAP2K1|DLG1|HIPK2|TRAF5|HDAC3|ZNF622|GPS2|TIRAP|CYLD|FOXM1|EZR|RIPK1|WNT16|IL26|MINK1|SIRPA|MMP8|RASSF2|MAP3K7|SLAMF1|CD27|MAP2K4|CARD9|SH3RF3|UNC5CL|PLCB1|EDAR|TNIK|MECOM|VEGFA|RPS3|LGALS9|AGER|TRAF4|DUSP3|RASGRP1|WNT7A|MAP3K10|MAP3K13|MAP3K12|PRMT1|TAOK3|PINK1|HMGB1|MTURN|IGBP1|ARL6IP5|TLR9|DVL2|MAPK8IP3|DBNL|ITCH|PYCARD|MAP4K1|TRAF3|PAK1|LTBR|MAP2K7|ZC3H12A|EMC10|PJA2|HIPK3|RELL1|RELL2|PKN1|DACT1|TAOK2|NCF1|ANKRD6|ERN1|DUSP22|SDCBP|MAP3K6|MAP3K4|TRAF2|ULK4|MAP3K5|PER1|SASH1|PTPN22|PPIA|FOXO1|APP|GADD45B|PDCD10|GADD45A|DUSP10|NOD2|FLT4|SPAG9|SCIMP|MFHAS1|F2RL1|MDFIC|TRAF1|SPI1|IL1B|NBR1|FAS|STK25|ZNF675|MAP3K11|MEN1|FCGR2B|LYN|SEMA4C|DVL3|TGFBR3|PDCD4|MAP4K4|KLHDC10|COPS5|RNF13|ZMYND11|AIDA","regulation of stress-activated protein kinase signaling cascade","150","ENR","REGULATION OF STRESS-ACTIVATED PROTEIN KINASE SIGNALING CASCADE%GOBP%GO:0070302","1.0","0.01","REGULATION OF STRESS-ACTIVATED PROTEIN KINASE SIGNALING CASCADE%GOBP%GO:0070302","false","REGULATION OF STRESS-ACTIVATED PROTEIN KINASE SIGNALING CASCADE%GOBP%GO:0070302"
"0.99",,"1.0","PHOSPHORYLATION 
OF THE APC 
C%REACTOME%R-HSA-176412.3 ",,"ANAPC2|ANAPC15|ANAPC10|ANAPC7|ANAPC16|UBE2E1|ANAPC11|UBE2S|CDC26|CDC16|ANAPC4|UBE2D1|CDC23|CDC27|ANAPC5|ANAPC1","Phosphorylation of the APC C","16","ENR","PHOSPHORYLATION OF THE APC C%REACTOME%R-HSA-176412.3","1.0","0.01","PHOSPHORYLATION OF THE APC C%REACTOME%R-HSA-176412.3","false","PHOSPHORYLATION OF THE APC C%REACTOME%R-HSA-176412.3"
"0.99",,"1.0","ACTIVATION OF 
NF-KAPPAB IN B 
CELLS%REACTOME%R-HSA-1169091.1 ",,"BTRC|PRKCB|CUL1|SKP1|PSME2|FBXW11|PSMA4|PSMA1|PSMA2|PSME3|PSME4|PSME1|PSMD10|PSMD12|PSMD11|PSMD14|REL|PSMD13|PSMA7|MAP3K7|PSMB10|UBB|PSMB6|UBC|NFKBIB|PSMB7|PSMB4|PSMB5|PSMB2|NFKBIA|PSMB3|PSMB1|UBA52|PSMF1|PSMB8|PSMB9|PSMC5|PSMC6|PSMC3|IKBKB|PSMC4|IKBKG|PSMC1|PSMC2|CHUK|NFKBIE|PSMD8|PSMD9|PSMD6|PSMD7|PSMD4|PSMD5|PSMD2|PSMD3|PSMD1|RPS27A|PSMA5|PSMA6|PSMA3|CARD11|BCL10|RELA|MALT1|NFKB1","Activation of NF-kappaB in B cells","64","ENR","ACTIVATION OF NF-KAPPAB IN B CELLS%REACTOME%R-HSA-1169091.1","1.0","0.01","ACTIVATION OF NF-KAPPAB IN B CELLS%REACTOME%R-HSA-1169091.1","false","ACTIVATION OF NF-KAPPAB IN B CELLS%REACTOME%R-HSA-1169091.1"
"0.99",,"1.0","WNT SIGNALING 
PATHWAY 
(NETPATH)%WIKIPATHWAYS_20210210%WP363%HOMO 
SAPIENS ",,"MAPK8|TCF7L2|MYC|MAP3K7|AXIN1|AXIN2|CDK6|CSNK1G1|DVL1|NLK|BCL9|PRKCB|PRKCA|DVL2|MAPK9|TCF4|ROR1|CSNK1D|NFATC2|CSNK1E|APC|MAPK1|CTNNB1|TSC1|CSNK1A1|RYK|GSK3B|GSK3A|FRAT1|LRP6|TCF3|MTOR|PI4K2A|CTBP1|TSC2|ARRB2|RAC1","Wnt Signaling Pathway (Netpath)","37","ENR","WNT SIGNALING PATHWAY (NETPATH)%WIKIPATHWAYS_20210210%WP363%HOMO SAPIENS","1.0","0.01","WNT SIGNALING PATHWAY (NETPATH)%WIKIPATHWAYS_20210210%WP363%HOMO SAPIENS","false","WNT SIGNALING PATHWAY (NETPATH)%WIKIPATHWAYS_20210210%WP363%HOMO SAPIENS"
"0.99",,"1.0","CAMKK2  
PATHWAY%WIKIPATHWAYS_20210210%WP4874%HOMO 
SAPIENS ",,"MAP1LC3A|FIS1|SMC1A|SIRT1|MAF|RAF1|HMOX1|EP300|NFATC2|HDAC4|SQSTM1|MAPK1|CAMKK2|CAMK1|TSC1|MAPK3|CALM2|STIM1|CREB1|CHRM3|CAMK4|NFE2L2|MTOR|RELA|RAC1","CAMKK2  Pathway","25","ENR","CAMKK2  PATHWAY%WIKIPATHWAYS_20210210%WP4874%HOMO SAPIENS","1.0","0.01","CAMKK2  PATHWAY%WIKIPATHWAYS_20210210%WP4874%HOMO SAPIENS","false","CAMKK2  PATHWAY%WIKIPATHWAYS_20210210%WP4874%HOMO SAPIENS"
"0.99",,"1.0","PROTEIN 
K48-LINKED 
UBIQUITINATION%GOBP%GO:0070936 ",,"TTC3|ARIH2|ZNRF1|UBE2E1|UBR5|CDC34|RNF115|TOPORS|RNF126|FBXO38|RNF8|ITCH|RNF216|UBE2D2|UBE2D3|UBE2D1|BFAR|SYVN1|NEDD4L|TNFAIP3|RNF5|UBE3A|UBE2K|KLHL3|HACE1|IFI27|RNF4|RFFL|UBE2H|TRIM32|UBE2Q2|PELI1|UBE2R2|RNF34|AMFR|DTX3L|UBE2G1|UBE2G2|UBE2D4|UBE2E3|RNF187|UBE2E2|RNF146|UBE2B|UBE2A|RNF6|SKP2","protein K48-linked ubiquitination","47","ENR","PROTEIN K48-LINKED UBIQUITINATION%GOBP%GO:0070936","1.0","0.01","PROTEIN K48-LINKED UBIQUITINATION%GOBP%GO:0070936","false","PROTEIN K48-LINKED UBIQUITINATION%GOBP%GO:0070936"
"0.99",,"1.0","FATTY ACID 
DERIVATIVE 
BIOSYNTHETIC 
PROCESS%GOBP%GO:1901570 ",,"ALOX5AP|AKR1C3|CBR1|GGT1|SCD|FASN|GGT7|PTGS2|GCDH|PPT1|PLA2G4A|MGST3|CD74|ALOX12|ACACA|PNPLA8|PTGES2|MIF|TBXAS1|PTGS1|PTGDS|LTC4S|HMGCL|ACSS3|ACSL1|FADS1|SCD5|DAGLB|LTA4H|MGST2|PTGES3|CBR4|ALOX5|ELOVL1|ACLY|ACSL3|ELOVL5|ELOVL6|ELOVL7|HPGD|ACSL6|ACSL5|AACS|BDH1|ACSL4|ACAT1|TECR|HSD17B12|SLC25A1|FAR1|BDH2|ACSF3|FAR2|ALOX15","fatty acid derivative biosynthetic process","54","ENR","FATTY ACID DERIVATIVE BIOSYNTHETIC PROCESS%GOBP%GO:1901570","1.0","0.01","FATTY ACID DERIVATIVE BIOSYNTHETIC PROCESS%GOBP%GO:1901570","false","FATTY ACID DERIVATIVE BIOSYNTHETIC PROCESS%GOBP%GO:1901570"
"0.99",,"1.0","LDL 
CLEARANCE%REACTOME 
DATABASE ID 
RELEASE 
75%8964038 ",,"AP2S1|LDLR|LIPA|LDLRAP1|NCEH1|SOAT1|NPC2|CLTC|CLTA|AP2A1|AP2B1|AP2A2|NPC1|LSR|AP2M1","LDL clearance","15","ENR","LDL CLEARANCE%REACTOME DATABASE ID RELEASE 75%8964038","1.0","0.01","LDL CLEARANCE%REACTOME DATABASE ID RELEASE 75%8964038","false","LDL CLEARANCE%REACTOME DATABASE ID RELEASE 75%8964038"
