"EnrichmentMap::Data Set","EnrichmentMap::Overlap_genes","EnrichmentMap::Overlap_size","EnrichmentMap::similarity_coefficient","interaction","name","selected","shared interaction","shared name"
"GSEAresults","JUN|STAT4|IL18R1|CD3G|CD3E|CD3D|CD247|IL18|MAPK8","9","0.45517241379310347","Geneset_Overlap","BIOCARTA_IL12_PATHWAY%MSIGDB_C2%BIOCARTA_IL12_PATHWAY (Geneset_Overlap_GSEAresults) PID_IL12_STAT4_PATHWAY%MSIGDB_C2%PID_IL12_STAT4_PATHWAY","false","Geneset_Overlap","BIOCARTA_IL12_PATHWAY%MSIGDB_C2%BIOCARTA_IL12_PATHWAY (Geneset_Overlap_GSEAresults) PID_IL12_STAT4_PATHWAY%MSIGDB_C2%PID_IL12_STAT4_PATHWAY"
"GSEAresults","JUN|MAPK9|CD3G|PPP3R1|PRF1|CD3E|CD3D|CD247|MAPK8|IL2RA|STAT4|FOS|PPP3CA","13","0.4209065679925994","Geneset_Overlap","PID_IL12_STAT4_PATHWAY%MSIGDB_C2%PID_IL12_STAT4_PATHWAY (Geneset_Overlap_GSEAresults) PID_CD8_TCR_DOWNSTREAM_PATHWAY%MSIGDB_C2%PID_CD8_TCR_DOWNSTREAM_PATHWAY","false","Geneset_Overlap","PID_IL12_STAT4_PATHWAY%MSIGDB_C2%PID_IL12_STAT4_PATHWAY (Geneset_Overlap_GSEAresults) PID_CD8_TCR_DOWNSTREAM_PATHWAY%MSIGDB_C2%PID_CD8_TCR_DOWNSTREAM_PATHWAY"
"GSEAresults","CBL|VEGFA|MAPK1|NCK1|PIK3R1|FLT1|PTPN11|PRKCB|MAPK3|PRKCA|PIK3CA|PDPK1","12","0.495","Geneset_Overlap","PID_VEGFR1_PATHWAY%MSIGDB_C2%PID_VEGFR1_PATHWAY (Geneset_Overlap_GSEAresults) PID_VEGFR1_2_PATHWAY%MSIGDB_C2%PID_VEGFR1_2_PATHWAY","false","Geneset_Overlap","PID_VEGFR1_PATHWAY%MSIGDB_C2%PID_VEGFR1_PATHWAY (Geneset_Overlap_GSEAresults) PID_VEGFR1_2_PATHWAY%MSIGDB_C2%PID_VEGFR1_2_PATHWAY"
"GSEAresults","CBL|VEGFA|MAPK1|NCK1|PIK3R1|FLT1|PTPN11|PRKCB|MAPK3|PRKCA|PIK3CA|PDPK1","12","0.47023809523809523","Geneset_Overlap","PID_VEGFR1_PATHWAY%MSIGDB_C2%PID_VEGFR1_PATHWAY (Geneset_Overlap_GSEAresults) SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2","false","Geneset_Overlap","PID_VEGFR1_PATHWAY%MSIGDB_C2%PID_VEGFR1_PATHWAY (Geneset_Overlap_GSEAresults) SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2"
"GSEAresults","FLT1|ROCK1|ARF1|PDPK1|PIK3CA|BRAF|NCK2|PRKCB|ITGB3|MAP2K6|CDC42|MAPK1|ITGAV|MAPK3|SHB|CBL|FYN|MAPK14|NEDD4|MAPKAPK2|FES|SRC|PTPN6|PXN|GRB10|NCK1|MAP2K1|MAP2K2|PTPN11|PRKCA|HSP90AB1|RAF1|MYOF|GRB2|HGS|SH2D2A|CAMKK2|CTNNB1|VEGFA|MAP2K3|CTNNA1|PIK3R1","42","0.7898550724637681","Geneset_Overlap","SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2 (Geneset_Overlap_GSEAresults) PID_VEGFR1_2_PATHWAY%MSIGDB_C2%PID_VEGFR1_2_PATHWAY","false","Geneset_Overlap","SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2 (Geneset_Overlap_GSEAresults) PID_VEGFR1_2_PATHWAY%MSIGDB_C2%PID_VEGFR1_2_PATHWAY"
"GSEAresults","JARID2|VAV3|NOG|TET1|PARP8|AHDC1|TCF7L1|ELP4|RGS10|NLK|CUL4B|AEBP2|TCF4|SLC2A12|CRTC1|SESN1|CEP250|WDHD1|PIAS1|WDFY2|TOX|BCORL1|ACACA|MBTD1|EPB41L5|UBR5|SMAD2|SMAD4|ATP8B2|PBX3|CTBP2|TRERF1|PBX1|EXT1|BMPR1A|PHF6|TRIM5|C1QBP","38","0.45293241229852366","Geneset_Overlap","ENDODERM DIFFERENTIATION%WIKIPATHWAYS_20210210%WP2853%HOMO SAPIENS (Geneset_Overlap_GSEAresults) MESODERMAL COMMITMENT PATHWAY%WIKIPATHWAYS_20210210%WP2857%HOMO SAPIENS","false","Geneset_Overlap","ENDODERM DIFFERENTIATION%WIKIPATHWAYS_20210210%WP2853%HOMO SAPIENS (Geneset_Overlap_GSEAresults) MESODERMAL COMMITMENT PATHWAY%WIKIPATHWAYS_20210210%WP2857%HOMO SAPIENS"
"GSEAresults","NCOR1|TBL1XR1|NCOR2|HDAC3|TNRC6C|MOV10|AGO3|AGO4|AGO1|AGO2|TBL1X|TNRC6A|GPS2|TNRC6B","14","0.4399624765478424","Geneset_Overlap","LXRS REGULATE GENE EXPRESSION LINKED TO CHOLESTEROL TRANSPORT AND EFFLUX%REACTOME DATABASE ID RELEASE 75%9029569 (Geneset_Overlap_GSEAresults) REGULATION OF MECP2 EXPRESSION AND ACTIVITY%REACTOME%R-HSA-9022692.1","false","Geneset_Overlap","LXRS REGULATE GENE EXPRESSION LINKED TO CHOLESTEROL TRANSPORT AND EFFLUX%REACTOME DATABASE ID RELEASE 75%9029569 (Geneset_Overlap_GSEAresults) REGULATION OF MECP2 EXPRESSION AND ACTIVITY%REACTOME%R-HSA-9022692.1"
"GSEAresults","LBR|TBL1XR1|CREB1|CAMK4|SIN3A|GPS2|NCOR1|CAMK2D|HDAC2|HDAC1|HIPK2|NCOR2|CALM1|CAMK2G|PRKACA|HTT|HDAC3|TNRC6C|MOV10|AGO3|AGO4|AGO1|AGO2|TBL1X|TNRC6A|TNRC6B","26","0.8421052631578947","Geneset_Overlap","TRANSCRIPTIONAL REGULATION BY MECP2%REACTOME%R-HSA-8986944.2 (Geneset_Overlap_GSEAresults) REGULATION OF MECP2 EXPRESSION AND ACTIVITY%REACTOME%R-HSA-9022692.1","false","Geneset_Overlap","TRANSCRIPTIONAL REGULATION BY MECP2%REACTOME%R-HSA-8986944.2 (Geneset_Overlap_GSEAresults) REGULATION OF MECP2 EXPRESSION AND ACTIVITY%REACTOME%R-HSA-9022692.1"
"GSEAresults","ZC3H12A|ZFP36|TARDBP|YTHDF1|DHX36|YTHDF2|UPF1|YTHDF3|FTO|MOV10|METTL16|ROCK1|DND1|CPEB3|KHSRP|ZFP36L2|ZFP36L1|METTL14|GIGYF2|ROCK2|ZC3H12D|METTL3|RC3H1|PUM1|CELF1","25","0.9807692307692308","Geneset_Overlap","RNA DESTABILIZATION%GOBP%GO:0050779 (Geneset_Overlap_GSEAresults) MRNA DESTABILIZATION%GOBP%GO:0061157","false","Geneset_Overlap","RNA DESTABILIZATION%GOBP%GO:0050779 (Geneset_Overlap_GSEAresults) MRNA DESTABILIZATION%GOBP%GO:0061157"
"GSEAresults","ZC3H12A|YTHDF1|YTHDF2|YTHDF3|MOV10|ROCK1|DND1|ZFP36L2|ZFP36L1|GIGYF2|ROCK2|METTL3|CELF1|ZFP36|TARDBP|DHX36|UPF1|FTO|METTL16|CPEB3|KHSRP|METTL14|ZC3H12D|RC3H1|PUM1","25","0.7714669051878354","Geneset_Overlap","POSITIVE REGULATION OF MRNA CATABOLIC PROCESS%GOBP%GO:0061014 (Geneset_Overlap_GSEAresults) RNA DESTABILIZATION%GOBP%GO:0050779","false","Geneset_Overlap","POSITIVE REGULATION OF MRNA CATABOLIC PROCESS%GOBP%GO:0061014 (Geneset_Overlap_GSEAresults) RNA DESTABILIZATION%GOBP%GO:0050779"
