NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
REGULATION OF BETA-CELL DEVELOPMENT%REACTOME%R-HSA-186712.2	REGULATION OF BETA-CELL DEVELOPMENT%REACTOME%R-HSA-186712.2	Details ...	15	-0.8524283	-1.7694346	0	9.58E-05	0.005	1024	"tags=60%, list=8%, signal=65%"
NOTCH4 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-9013695.1	NOTCH4 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-9013695.1	Details ...	15	-0.8478094	-1.7502798	0	2.82E-04	0.015	1286	"tags=67%, list=10%, signal=74%"
PRE-NOTCH TRANSCRIPTION AND TRANSLATION%REACTOME%R-HSA-1912408.4	PRE-NOTCH TRANSCRIPTION AND TRANSLATION%REACTOME%R-HSA-1912408.4	Details ...	28	-0.77785045	-1.7252773	0	6.08E-04	0.031	1286	"tags=61%, list=10%, signal=67%"
PEPTIDE CATABOLIC PROCESS%GOBP%GO:0043171	PEPTIDE CATABOLIC PROCESS%GOBP%GO:0043171	Details ...	17	-0.8016681	-1.6922485	0.001019368	0.001393258	0.073	1211	"tags=53%, list=10%, signal=58%"
PATHWAYS AFFECTED IN ADENOID CYSTIC CARCINOMA%WIKIPATHWAYS_20210210%WP3651%HOMO SAPIENS	PATHWAYS AFFECTED IN ADENOID CYSTIC CARCINOMA%WIKIPATHWAYS_20210210%WP3651%HOMO SAPIENS	Details ...	43	-0.73487425	-1.6678216	0	0.002860711	0.147	2122	"tags=53%, list=17%, signal=64%"
IL-7%NETPATH%IL-7	IL-7%NETPATH%IL-7	Details ...	23	-0.7658369	-1.6646419	0	0.00310648	0.16	1845	"tags=65%, list=15%, signal=76%"
REGULATION OF MECP2 EXPRESSION AND ACTIVITY%REACTOME%R-HSA-9022692.1	REGULATION OF MECP2 EXPRESSION AND ACTIVITY%REACTOME%R-HSA-9022692.1	Details ...	26	-0.74500877	-1.6545407	0	0.003926177	0.2	2082	"tags=62%, list=16%, signal=73%"
NOTCH3 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-9013508.1	NOTCH3 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-9013508.1	Details ...	15	-0.7908847	-1.653488	0	0.003976443	0.203	1024	"tags=47%, list=8%, signal=51%"
REGULATION OF ESTABLISHMENT OR MAINTENANCE OF CELL POLARITY%GOBP%GO:0032878	REGULATION OF ESTABLISHMENT OR MAINTENANCE OF CELL POLARITY%GOBP%GO:0032878	Details ...	16	-0.78743094	-1.6507151	0.00102459	0.004124371	0.211	2419	"tags=69%, list=19%, signal=85%"
PRE-NOTCH EXPRESSION AND PROCESSING%REACTOME%R-HSA-1912422.1	PRE-NOTCH EXPRESSION AND PROCESSING%REACTOME%R-HSA-1912422.1	Details ...	43	-0.7238439	-1.6501641	0	0.004120729	0.214	2531	"tags=63%, list=20%, signal=78%"
NOTCH-HLH TRANSCRIPTION PATHWAY%REACTOME%R-HSA-350054.3	NOTCH-HLH TRANSCRIPTION PATHWAY%REACTOME%R-HSA-350054.3	Details ...	26	-0.7531436	-1.6499542	0.001007049	0.00408524	0.216	1286	"tags=46%, list=10%, signal=51%"
NEPHRIN FAMILY INTERACTIONS%REACTOME DATABASE ID RELEASE 75%373753	NEPHRIN FAMILY INTERACTIONS%REACTOME DATABASE ID RELEASE 75%373753	Details ...	17	-0.7865308	-1.6464543	0.001026694	0.004523754	0.239	1816	"tags=71%, list=14%, signal=82%"
BIOCARTA_VDR_PATHWAY%MSIGDB_C2%BIOCARTA_VDR_PATHWAY	BIOCARTA_VDR_PATHWAY%MSIGDB_C2%BIOCARTA_VDR_PATHWAY	Details ...	21	-0.7596575	-1.6314092	0	0.00620506	0.325	704	"tags=43%, list=6%, signal=45%"
BIOCARTA_HCMV_PATHWAY%MSIGDB_C2%BIOCARTA_HCMV_PATHWAY	BIOCARTA_HCMV_PATHWAY%MSIGDB_C2%BIOCARTA_HCMV_PATHWAY	Details ...	15	-0.7873321	-1.6294754	0	0.006459238	0.34	2082	"tags=73%, list=16%, signal=88%"
IL-7 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP205%HOMO SAPIENS	IL-7 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP205%HOMO SAPIENS	Details ...	22	-0.75552404	-1.6263891	0	0.00678085	0.356	1845	"tags=59%, list=15%, signal=69%"
REGULATION OF RUNX1 EXPRESSION AND ACTIVITY%REACTOME DATABASE ID RELEASE 75%8934593	REGULATION OF RUNX1 EXPRESSION AND ACTIVITY%REACTOME DATABASE ID RELEASE 75%8934593	Details ...	16	-0.76572216	-1.625261	0.00102459	0.006900245	0.366	2300	"tags=75%, list=18%, signal=91%"
BIOCARTA_CXCR4_PATHWAY%MSIGDB_C2%BIOCARTA_CXCR4_PATHWAY	BIOCARTA_CXCR4_PATHWAY%MSIGDB_C2%BIOCARTA_CXCR4_PATHWAY	Details ...	15	-0.7821551	-1.6171803	0	0.008562086	0.434	1785	"tags=60%, list=14%, signal=70%"
REGULATION OF CARDIAC CONDUCTION%GOBP%GO:1903779	REGULATION OF CARDIAC CONDUCTION%GOBP%GO:1903779	Details ...	36	-0.71518606	-1.6083484	0	0.010232525	0.505	1207	"tags=39%, list=9%, signal=43%"
NUCLEUS LOCALIZATION%GOBP%GO:0051647	NUCLEUS LOCALIZATION%GOBP%GO:0051647	Details ...	15	-0.77141	-1.5988332	0.003080082	0.013030502	0.6	2778	"tags=80%, list=22%, signal=102%"
PID_RET_PATHWAY%MSIGDB_C2%PID_RET_PATHWAY	PID_RET_PATHWAY%MSIGDB_C2%PID_RET_PATHWAY	Details ...	26	-0.71598476	-1.582568	0	0.01862481	0.741	2577	"tags=58%, list=20%, signal=72%"
INITIATION OF TRANSCRIPTION AND TRANSLATION ELONGATION AT THE HIV-1 LTR%WIKIPATHWAYS_20210210%WP3414%HOMO SAPIENS	INITIATION OF TRANSCRIPTION AND TRANSLATION ELONGATION AT THE HIV-1 LTR%WIKIPATHWAYS_20210210%WP3414%HOMO SAPIENS		26	-0.7229164	-1.5819952	0	0.018555237	0.746	1548	"tags=46%, list=12%, signal=52%"
NEGATIVE REGULATION OF PROTEIN LOCALIZATION TO NUCLEUS%GOBP%GO:1900181	NEGATIVE REGULATION OF PROTEIN LOCALIZATION TO NUCLEUS%GOBP%GO:1900181		15	-0.75729734	-1.5789124	0.002070393	0.019546438	0.772	1781	"tags=53%, list=14%, signal=62%"
PID_IFNG_PATHWAY%MSIGDB_C2%PID_IFNG_PATHWAY	PID_IFNG_PATHWAY%MSIGDB_C2%PID_IFNG_PATHWAY		26	-0.7200731	-1.5765225	0	0.020269329	0.786	2300	"tags=65%, list=18%, signal=80%"
KIT RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP304%HOMO SAPIENS	KIT RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP304%HOMO SAPIENS		47	-0.69265485	-1.5764182	0	0.020021822	0.786	2552	"tags=53%, list=20%, signal=66%"
SIGNALING BY SCF-KIT%REACTOME DATABASE ID RELEASE 75%1433557	SIGNALING BY SCF-KIT%REACTOME DATABASE ID RELEASE 75%1433557		34	-0.7034874	-1.5748047	0	0.020380551	0.794	2300	"tags=50%, list=18%, signal=61%"
NEGATIVE REGULATION OF PROTEIN COMPLEX DISASSEMBLY%GOBP%GO:0043242	NEGATIVE REGULATION OF PROTEIN COMPLEX DISASSEMBLY%GOBP%GO:0043242		42	-0.6909962	-1.5688069	0	0.023417251	0.839	2127	"tags=45%, list=17%, signal=54%"
