NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
HYDROGEN PEROXIDE CATABOLIC PROCESS%GOBP%GO:0042744	HYDROGEN PEROXIDE CATABOLIC PROCESS%GOBP%GO:0042744	Details ...	17	0.8304519	3.1278875	0	0	0	381	"tags=47%, list=3%, signal=48%"
HYDROGEN PEROXIDE METABOLIC PROCESS%GOBP%GO:0042743	HYDROGEN PEROXIDE METABOLIC PROCESS%GOBP%GO:0042743	Details ...	22	0.7563201	3.0283535	0	0	0	381	"tags=36%, list=3%, signal=37%"
ANTIBIOTIC CATABOLIC PROCESS%GOBP%GO:0017001	ANTIBIOTIC CATABOLIC PROCESS%GOBP%GO:0017001	Details ...	30	0.6930354	2.80362	0	0	0	381	"tags=30%, list=3%, signal=31%"
DISRUPTION OF CELLS OF OTHER ORGANISM%GOBP%GO:0044364	DISRUPTION OF CELLS OF OTHER ORGANISM%GOBP%GO:0044364	Details ...	16	0.6080415	2.1788862	0	0.007011732	0.011	763	"tags=63%, list=6%, signal=66%"
TYPE I INTERFERON SIGNALING PATHWAY%GOBP%GO:0060337	TYPE I INTERFERON SIGNALING PATHWAY%GOBP%GO:0060337	Details ...	44	0.5000036	2.1632855	0	0.007122374	0.014	366	"tags=32%, list=3%, signal=33%"
PINK1-PRKN MEDIATED MITOPHAGY%REACTOME%R-HSA-5205685.3	PINK1-PRKN MEDIATED MITOPHAGY%REACTOME%R-HSA-5205685.3	Details ...	18	0.5939038	2.1060236	0	0.010027383	0.023	922	"tags=56%, list=7%, signal=60%"
ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE%GOBP%GO:0061844	ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE%GOBP%GO:0061844	Details ...	24	0.60805917	2.0952108	0	0.008872042	0.024	763	"tags=54%, list=6%, signal=58%"
KILLING OF CELLS OF OTHER ORGANISM%GOBP%GO:0031640	KILLING OF CELLS OF OTHER ORGANISM%GOBP%GO:0031640	Details ...	16	0.6080415	2.0720897	0	0.011789922	0.036	763	"tags=63%, list=6%, signal=66%"
INTERFERON ALPHA BETA SIGNALING%REACTOME DATABASE ID RELEASE 75%909733	INTERFERON ALPHA BETA SIGNALING%REACTOME DATABASE ID RELEASE 75%909733	Details ...	45	0.492052	2.0117233	0	0.016077954	0.054	366	"tags=33%, list=3%, signal=34%"
OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	Details ...	71	0.32490587	1.9214383	0	0.028638182	0.1	1047	"tags=28%, list=8%, signal=31%"
