"__mclCluster","EnrichmentMap::Colouring (GSEAresults)","EnrichmentMap::ES (GSEAresults)","EnrichmentMap::fdr_qvalue (GSEAresults)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (GSEAresults)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (GSEAresults)","EnrichmentMap::pvalue (GSEAresults)","name","selected","shared name"
"3","-0.999","-0.6822","0.0442","PID_IL2_PI3K_
PATHWAY%MSIGDB_
C2%PID_IL2_PI3K_
PATHWAY","0.989","IL2RA|GRB2|MYC|SOS1|MYB|PTPN11|BCL2L1|EIF3A|BCL2|PIK3CA|SHC1|PIK3R1|IL2RG|JAK1|JAK3|SMPD1|RPS6KB1|IL2RB|RPS6|FOXO3|MTOR|GAB2|SGMS1|PRKCZ|UGCG|RELA|LCK|RAC1|NFKB1","PID_IL2_PI3K_PATHWAY","29","ENR","PID_IL2_PI3K_PATHWAY%MSIGDB_C2%PID_IL2_PI3K_PATHWAY","-1.5247","0.001","PID_IL2_PI3K_PATHWAY%MSIGDB_C2%PID_IL2_PI3K_PATHWAY","false","PID_IL2_PI3K_PATHWAY%MSIGDB_C2%PID_IL2_PI3K_PATHWAY"
,"1.0","0.5939","0.01","PINK1-PRKN 
MEDIATED 
MITOPHAGY%REACTOME%R-HSA-5205685.3 ","0.023","MAP1LC3A|RPS27A|TOMM6|TOMM5|UBB|MFN1|UBC|TOMM22|ATG5|VDAC1|ATG12|MAP1LC3B|UBA52|TOMM20|TOMM7|PINK1|TOMM40|SQSTM1","PINK1-PRKN Mediated Mitophagy","18","ENR","PINK1-PRKN MEDIATED MITOPHAGY%REACTOME%R-HSA-5205685.3","2.106","0.0","PINK1-PRKN MEDIATED MITOPHAGY%REACTOME%R-HSA-5205685.3","false","PINK1-PRKN MEDIATED MITOPHAGY%REACTOME%R-HSA-5205685.3"
,"-0.999","-0.7043","0.0439","POSITIVE 
REGULATION OF 
POSTTRANSCRIPTIONAL 
GENE 
SILENCING%GOBP%GO:0060148 ","0.989","DDX6|AGO2|TGFB1|EIF4ENIF1|DHX9|TNRC6B|MAP2K1|FMR1|DDX5|LIMD1|ZFP36|PUM2|PUM1|MAP2K2|STAT3|EIF4G1|XPO5|TP53|RIPK1|FXR1|EIF4E2","positive regulation of posttranscriptional gene silencing","21","ENR","POSITIVE REGULATION OF POSTTRANSCRIPTIONAL GENE SILENCING%GOBP%GO:0060148","-1.5245","0.001","POSITIVE REGULATION OF POSTTRANSCRIPTIONAL GENE SILENCING%GOBP%GO:0060148","false","POSITIVE REGULATION OF POSTTRANSCRIPTIONAL GENE SILENCING%GOBP%GO:0060148"
,"-1.0","-0.6337","0.0484","PEPTIDYL-SERINE 
PHOSPHORYLATION%GOBP%GO:0018105 ","0.997","TLK1|TTBK2|ATM|AURKA|MAP2K2|PRKCE|MAPK1|GSK3B|AKT1|RPS6KB1|CAMK2D|RPS6KB2|RPS6KA3|RPS6KA2|HIPK2|RPS6KA1|PRKCQ|PRKACA|CAMK4|LRRK2|PRKCZ|RIPK1|CDK5|ROCK2|ROCK1|SGK1|NLK|IKBKB|CHUK|PDPK1|MAPKAPK2|CAB39|PRKCD|MAP3K10|MAP3K13|PRKX|MAP3K12|EIF2AK3|ULK1|RPS6KA5|MASTL|PKD1|PRKCH|PRKD1|DYRK3|PINK1|MARK3|MKNK1|TGFBR1|TGFBR2|MORC3|DYRK4|CAMK1D|MAPK14|MKNK2|MAPK13|SBK1|STK4|MARK2|CDK2|MAST2|CSNK2A1|CSNK2A2|CSNK1G3|MAPKAPK3|CSNK1G2|CSNK1G1|IKBKE|LMTK2|PRKCI|VRK3|PRKCB|HMGA2|PRKCA|WNK1|DYRK1A|DYRK1B|MAPK9|CDC7|TLK2|VRK2|MAPKAPK5|CSNK1D|TNKS|DMPK|STK38L|CSNK1E|HIPK1|SMG1|NEK6|PRKY|MAP4K1|MAST4|MAST3|SGK3|TAF1|CAMK1|STK39|CSNK1A1|PRKD2|UHMK1|STK32B|STK32C|DGKQ|MST1|SRPK2|HIPK3|CSNK1A1L|PIKFYVE|PKN2|PKN1|RICTOR|PDGFB|STK38|ATR|TOP1|RPS6KA4|DYRK2|TBK1|PAK2|PDK3|MTOR|VRK1|GAS6|ERN1|MAPK8|AKT2|AKT3|LATS1|LATS2|CDK5R1|PRKDC","peptidyl-serine phosphorylation","132","ENR","PEPTIDYL-SERINE PHOSPHORYLATION%GOBP%GO:0018105","-1.5166","0.0","PEPTIDYL-SERINE PHOSPHORYLATION%GOBP%GO:0018105","false","PEPTIDYL-SERINE PHOSPHORYLATION%GOBP%GO:0018105"
,"-1.0","-0.6713","0.0425","GENE SILENCING BY 
RNA%GOBP%GO:0031047 ","0.982","PRKRA|PIWIL4|CNOT1|METTL3|CNOT8|LIMD1|HNRNPA2B1|CELF1|FAM172A|ZFP36|CLP1|ADAR|RAN|TARBP2|MRPL44|ZNFX1|PUM2|SRRT|PUM1|NRDE2|DGCR8|MOV10|EIF6|SMAD3|TNRC6C|AGO3|AGO4|RBM4|AGO1|AGO2|TNRC6A|DHX9|TNRC6B|CNOT6|SMAD2|SMAD1|PABPC1|PUS10|ZC3H7A|HENMT1|ZC3H7B|DICER1|XPO5|SNIP1|TSN|DROSHA|TSNAX|HELZ|CNOT7","gene silencing by RNA","49","ENR","GENE SILENCING BY RNA%GOBP%GO:0031047","-1.5305","0.0","GENE SILENCING BY RNA%GOBP%GO:0031047","false","GENE SILENCING BY RNA%GOBP%GO:0031047"
"1","-1.0","-0.6853","0.0447","PID_EPO_
PATHWAY%MSIGDB_
C2%PID_EPO_
PATHWAY","0.986","MAPK8|GRB2|SOS1|HRAS|PTPN11|BCL2L1|SOCS3|BCL2|STAT1|SHC1|PIK3R1|STAT5B|PLCG2|VAV2|RAPGEF1|EPOR|CRKL|TRPC6|CBL|LYN|BTK|PTPN6|TEC|MAPK14|SH2B3|RAP1A|NFKB1","PID_EPO_PATHWAY","27","ENR","PID_EPO_PATHWAY%MSIGDB_C2%PID_EPO_PATHWAY","-1.5263","0.0","PID_EPO_PATHWAY%MSIGDB_C2%PID_EPO_PATHWAY","false","PID_EPO_PATHWAY%MSIGDB_C2%PID_EPO_PATHWAY"
"9","-0.998","-0.7079","0.0481","HDMS DEMETHYLATE 
HISTONES%REACTOME%R-HSA-3214842.3 ","0.996","KDM2B|KDM4A|KDM4B|KDM4C|KDM5B|PHF2|PHF8|KDM1A|KDM3A|KDM6B|KDM5A|KDM5C|KDM5D|ARID5B|UTY|KDM6A|KDM1B|KDM7A|KDM3B|JMJD6|KDM2A","HDMs demethylate histones","21","ENR","HDMS DEMETHYLATE HISTONES%REACTOME%R-HSA-3214842.3","-1.5179","0.002","HDMS DEMETHYLATE HISTONES%REACTOME%R-HSA-3214842.3","false","HDMS DEMETHYLATE HISTONES%REACTOME%R-HSA-3214842.3"
"4","1.0","0.4516","0.0396","ANTIMICROBIAL 
HUMORAL 
RESPONSE%GOBP%GO:0019730 ","0.161","PI3|RPS19|SPAG11A|CLU|PGLYRP1|RPL39|SLC11A1|S100A12|SPAG11B|CXCL1|PF4V1|HMGN2|ROMO1|SLPI|LCN2|BPI|RNASE6|DEFA4|RNASE2|DEFA3|CHGA|ATP7A|GAPDH|GNLY|PDZD11|DEFB103B|RPL30|DEFA1B|CAMP|LYZ|CXCL5|PPBP|PLA2G6|PF4|LTF|S100A9|S100A8|FAM3A","antimicrobial humoral response","38","ENR","ANTIMICROBIAL HUMORAL RESPONSE%GOBP%GO:0019730","1.8472","0.0","ANTIMICROBIAL HUMORAL RESPONSE%GOBP%GO:0019730","false","ANTIMICROBIAL HUMORAL RESPONSE%GOBP%GO:0019730"
,"-0.996","-0.7048","0.0451","REGULATION OF 
MUSCLE 
ADAPTATION%GOBP%GO:0043502 ","0.986","GSK3A|ROCK1|CAMK2D|IL6ST|FOXO1|NOTCH1|CAMK2G|PRKCA|FOXO3|P2RX4|MTPN|RGS2|SMAD4|HDAC4|SLC9A1|ATP2B4|PDE9A|FBXO32|GLRX3|AKAP6|LMNA|ROCK2|MEF2A|PARP1","regulation of muscle adaptation","24","ENR","REGULATION OF MUSCLE ADAPTATION%GOBP%GO:0043502","-1.5264","0.004","REGULATION OF MUSCLE ADAPTATION%GOBP%GO:0043502","false","REGULATION OF MUSCLE ADAPTATION%GOBP%GO:0043502"
,"-1.0","-0.7353","0.0295","CARDIAC MUSCLE 
CELL 
DIFFERENTIATION%GOBP%GO:0055007 ","0.913","AKAP13|CBY1|ACVR1|FHOD3|SLC8A1|PDLIM5|MEF2C|MAML1|SORBS2|NRG1|VEGFA|KDM6B|SIK1|NEBL|NEB|MYH11|BMPR1A|TTN|PDGFRB|ALPK3|MEF2A","cardiac muscle cell differentiation","21","ENR","CARDIAC MUSCLE CELL DIFFERENTIATION%GOBP%GO:0055007","-1.5548","0.0","CARDIAC MUSCLE CELL DIFFERENTIATION%GOBP%GO:0055007","false","CARDIAC MUSCLE CELL DIFFERENTIATION%GOBP%GO:0055007"
