"__mclCluster","EnrichmentMap::Colouring (GSEAresults)","EnrichmentMap::ES (GSEAresults)","EnrichmentMap::fdr_qvalue (GSEAresults)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (GSEAresults)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (GSEAresults)","EnrichmentMap::pvalue (GSEAresults)","name","NumChildren","NumDescendents","selected","shared name"
"27","-0.999","-0.6249","0.0969","PID_CD8_TCR_
DOWNSTREAM_
PATHWAY%MSIGDB_
C2%PID_CD8_TCR_
DOWNSTREAM_
PATHWAY","1.0","MAPK8|IL2RA|HRAS|B2M|PPP3CA|PPP3R1|IFNAR1|BRAF|STAT4|PRKCB|PRKCA|RAF1|NFATC3|MAPK9|CD3G|NFATC1|CD3E|CD3D|MAP2K2|PRKCE|CD247|NFATC2|IFNAR2|IL2RG|MAPK1|JUN|TNFRSF9|MAPK3|MAP2K1|KRAS|PRF1|IL2RB|PRKCQ|FOS|JUNB|CD8A|NRAS","PID_CD8_TCR_DOWNSTREAM_PATHWAY","37","ENR","PID_CD8_TCR_DOWNSTREAM_PATHWAY%MSIGDB_C2%PID_CD8_TCR_DOWNSTREAM_PATHWAY","-1.4114","0.001","PID_CD8_TCR_DOWNSTREAM_PATHWAY%MSIGDB_C2%PID_CD8_TCR_DOWNSTREAM_PATHWAY",,,"false","PID_CD8_TCR_DOWNSTREAM_PATHWAY%MSIGDB_C2%PID_CD8_TCR_DOWNSTREAM_PATHWAY"
"27","-0.9948","-0.7206","0.0499","BIOCARTA_IL12_
PATHWAY%MSIGDB_
C2%BIOCARTA_IL12_
PATHWAY","1.0","MAPK8|STAT4|CXCR3|IL12RB1|CCR5|IL18R1|CD3G|CD3E|CD3D|CD247|IL18|TYK2|JUN|MAPK14|MAP2K6","BIOCARTA_IL12_PATHWAY","15","ENR","BIOCARTA_IL12_PATHWAY%MSIGDB_C2%BIOCARTA_IL12_PATHWAY","-1.5135","0.0052","BIOCARTA_IL12_PATHWAY%MSIGDB_C2%BIOCARTA_IL12_PATHWAY",,,"false","BIOCARTA_IL12_PATHWAY%MSIGDB_C2%BIOCARTA_IL12_PATHWAY"
"27","-0.9909","-0.6534","0.0886","PID_IL12_STAT4_
PATHWAY%MSIGDB_
C2%PID_IL12_STAT4_
PATHWAY","1.0","MAPK8|TGFB1|IL2RA|IL18RAP|CREBBP|PRF1|PPP3CA|PPP3R1|TBX21|STAT4|MAPK9|IL18R1|CD3G|CD3E|CD3D|FOS|CD247|IL18|STAT3|PIAS2|IRF1|JUN|CD80","PID_IL12_STAT4_PATHWAY","23","ENR","PID_IL12_STAT4_PATHWAY%MSIGDB_C2%PID_IL12_STAT4_PATHWAY","-1.4236","0.0091","PID_IL12_STAT4_PATHWAY%MSIGDB_C2%PID_IL12_STAT4_PATHWAY",,,"false","PID_IL12_STAT4_PATHWAY%MSIGDB_C2%PID_IL12_STAT4_PATHWAY"
,"-0.998","-0.6844","0.0498","REGULATION OF 
MICROTUBULE 
CYTOSKELETON%WIKIPATHWAYS_20210210%WP2038%HOMO 
SAPIENS ","0.999","TRIO|SPRED1|ROCK1|SRC|EPHB2|LIMK1|TIAM1|PTPRA|DVL1|MAPRE1|GNAQ|PHLDB2|F2RL2|PTEN|PRKCA|CDC42|PIK3CA|APC|STAT3|PAK1|MAPKAPK2|TAOK1|CLASP1|GSK3B|CAMK4|CFL2|RAC1","Regulation of Microtubule Cytoskeleton","27","ENR","REGULATION OF MICROTUBULE CYTOSKELETON%WIKIPATHWAYS_20210210%WP2038%HOMO SAPIENS","-1.514","0.002","REGULATION OF MICROTUBULE CYTOSKELETON%WIKIPATHWAYS_20210210%WP2038%HOMO SAPIENS",,,"false","REGULATION OF MICROTUBULE CYTOSKELETON%WIKIPATHWAYS_20210210%WP2038%HOMO SAPIENS"
,"-0.9929","-0.6728","0.0776","REGUCALCIN IN 
PROXIMAL TUBULE 
EPITHELIAL 
KIDNEY 
CELLS%WIKIPATHWAYS_20210210%WP4838%HOMO 
SAPIENS ","1.0","TGFB1|CASP9|BAK1|PPP3R1|PRKCQ|BRAF|TRPV5|RAF1|MCU|APAF1|PIK3CA|CASP3|ACTA2|SMAD2|BAX|MTOR|TNFRSF1A|TGFBR1|SMAD4|MAPK1|RELA|MAP3K5","Regucalcin in proximal tubule epithelial kidney cells","22","ENR","REGUCALCIN IN PROXIMAL TUBULE EPITHELIAL KIDNEY CELLS%WIKIPATHWAYS_20210210%WP4838%HOMO SAPIENS","-1.4436","0.0071","REGUCALCIN IN PROXIMAL TUBULE EPITHELIAL KIDNEY CELLS%WIKIPATHWAYS_20210210%WP4838%HOMO SAPIENS",,,"false","REGUCALCIN IN PROXIMAL TUBULE EPITHELIAL KIDNEY CELLS%WIKIPATHWAYS_20210210%WP4838%HOMO SAPIENS"
,"1.0","0.3249","0.0286","OXIDATIVE 
PHOSPHORYLATION%GOBP%GO:0006119 ","0.1","UQCRC2|SURF1|NDUFA4|COX6C|CYCS|NDUFAF1|TEFM|NDUFAB1|SDHC|SDHD|SDHA|CYC1|NDUFV3|NDUFV2|NDUFB10|NDUFV1|NDUFB11|UQCRFS1|NDUFS8|NDUFS7|NDUFS6|NDUFS5|NDUFS4|NDUFS3|NDUFS2|NDUFS1|NDUFC2|NDUFC1|UQCR11|UQCR10|UQCRB|UQCRH|NDUFB9|NDUFB8|NDUFA13|NDUFA11|NDUFB7|NDUFA12|NDUFA10|NDUFB6|NDUFB5|NDUFB4|NDUFB3|NDUFB2|NDUFB1|UQCRQ|NDUFA9|NDUFA8|NDUFA7|NDUFA6|NDUFA5|NDUFA3|NDUFA2|CHCHD10|NDUFA1|COX7B|COX4I1|COX6A1|COX7C|SDHAF2|COA6|COX8A|TAZ|COX6B1|COX7A2L|STOML2|COX15|COX10|COX5B|UQCRC1|COX5A","oxidative phosphorylation","71","ENR","OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119","1.9214","0.0","OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119",,,"false","OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119"
,"-0.9889","-0.6516","0.0925","B CELL ACTIVATION 
INVOLVED IN 
IMMUNE 
RESPONSE%GOBP%GO:0002312 ","1.0","LFNG|EXOSC6|CD19|FCGR2B|CCR6|RNF168|DOCK10|EXOSC3|DOCK11|POU2AF1|BATF|LIG4|GAPT|MSH6|MFNG|MSH2|GPR183|CD180|RNF8|CD40LG|NOTCH2|HSPD1|PTK2B","B cell activation involved in immune response","23","ENR","B CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002312","-1.418","0.0111","B CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002312",,,"false","B CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002312"
"29","-0.9897","-0.6984","0.0693","PID_VEGFR1_
PATHWAY%MSIGDB_
C2%PID_VEGFR1_
PATHWAY","1.0","NCK1|VEGFB|CBL|PTPN11|PRKCB|PRKCA|HIF1A|FLT1|PIK3CA|VEGFA|PIK3R1|PDPK1|MAPK1|NRP1|CD2AP|MAPK3","PID_VEGFR1_PATHWAY","16","ENR","PID_VEGFR1_PATHWAY%MSIGDB_C2%PID_VEGFR1_PATHWAY","-1.4611","0.0103","PID_VEGFR1_PATHWAY%MSIGDB_C2%PID_VEGFR1_PATHWAY",,,"false","PID_VEGFR1_PATHWAY%MSIGDB_C2%PID_VEGFR1_PATHWAY"
"29","-1.0","-0.6819","0.0279","PID_VEGFR1_2_
PATHWAY%MSIGDB_
C2%PID_VEGFR1_2_
PATHWAY","0.895","FES|GRB2|SRC|ROCK1|PXN|PTPN11|ARF1|BRAF|PRKCB|ITGB3|PRKCA|RAF1|CDC42|FLT1|ITGAV|PIK3CA|HSP90AB1|MYOF|PRKAB1|MAP2K2|VEGFA|NEDD4|PRKAG1|SHB|PIK3R1|PDPK1|PRKAA1|MAPK1|CTNNB1|PTK2B|MAPKAPK2|FYN|HGS|SH2D2A|CTNNA1|CAMKK2|MAPK3|MAP2K1|NCK1|CBL|NCK2|PTPN6|MAP2K3|MAPK14|GRB10|MAP2K6","PID_VEGFR1_2_PATHWAY","46","ENR","PID_VEGFR1_2_PATHWAY%MSIGDB_C2%PID_VEGFR1_2_PATHWAY","-1.559","0.0","PID_VEGFR1_2_PATHWAY%MSIGDB_C2%PID_VEGFR1_2_PATHWAY",,,"false","PID_VEGFR1_2_PATHWAY%MSIGDB_C2%PID_VEGFR1_2_PATHWAY"
"29","-1.0","-0.6499","0.0552","SIGNALING EVENTS 
MEDIATED BY 
VEGFR1 AND 
VEGFR2%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED 
DATA%SIGNALING 
EVENTS MEDIATED 
BY VEGFR1 AND 
VEGFR2 ","1.0","FES|SRC|PTPN11|PRKCB|PRKCA|RAF1|PIK3CA|MAP2K2|PIK3R1|MAPK1|FYN|RHOA|MAPK3|VCL|AKT1|CALM3|MAP2K1|PRKACA|PAK2|FBXW11|GRB10|GRB2|ROCK1|PXN|ARF1|BRAF|ITGB3|CDC42|FLT1|ITGAV|HSP90AB1|MYOF|VEGFA|NEDD4|SHB|PDPK1|CTNNB1|MAPKAPK2|HGS|SH2D2A|CAMKK2|CTNNA1|GAB1|PLCG1|NCK1|CBL|HSP90AA1|PTPRJ|IQGAP1|AKAP1|NCK2|PTPN2|PRKCD|DNM2|PTPN6|PTK2|MAP2K3|MAPK14|MAP2K6","Signaling events mediated by VEGFR1 and VEGFR2","59","ENR","SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2","-1.4992","0.0","SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2",,,"false","SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2"
